id,age,gender,education,marital_status,skills,experience_years,location,target_job,barriers,employment_status,current_salary,location_normalized,region,salary_anomaly,salary_zero_retired,quality_score,quality_grade
worker_0026,49,male,upper_secondary,divorced,chăn nuôi|nông nghiệp|trồng trọt|salary_range,27,Hải Phòng,Nông dân / Nông nghiệp,other|location,retired,8872679,Hải Phòng,north,False,False,100,A
worker_0027,64,other,upper_secondary,married,an ninh|bảo vệ|tuần tra|salary_range,30,Bắc Ninh,Bảo vệ,,employed,8827662,Bắc Ninh,north,False,False,100,A
worker_0028,59,male,college,divorced,hành chính|kế toán|văn phòng|salary_range,30,Nam Định,Kế toán / Hành chính,,employed,7757656,Nam Định,north,False,False,100,A
worker_0029,59,male,university,widowed,sửa chữa|tay nghề|thợ|salary_range,30,Biên Hòa,Thợ lành nghề,,employed,12636771,Biên Hòa,south_east,False,False,100,A
worker_0030,58,male,primary,widowed,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Bắc Ninh,Nhân viên kho vận,,employed,11233748,Bắc Ninh,north,False,False,100,A
worker_0031,46,female,college,single,chăn nuôi|nông nghiệp|trồng trọt|salary_range,22,Đà Nẵng,Nông dân / Nông nghiệp,,employed,7828146,Đà Nẵng,central,False,False,100,A
worker_0032,40,male,upper_secondary,single,sửa chữa|tay nghề|thợ|salary_range,10,Qui Nhơn,Thợ lành nghề,techGap|location|other,retired,7651195,Quy Nhơn,central,False,False,100,A
worker_0033,65,female,primary,single,an ninh|bảo vệ|tuần tra|salary_range,30,Bắc Ninh,Bảo vệ,health|techGap,self-employed,6691251,Bắc Ninh,north,False,False,100,A
worker_0034,40,male,primary,divorced,công trình|xây dựng|xây tô|salary_range,14,TP. Hồ Chí Minh,Lao động xây dựng,other,unemployed,0,Hồ Chí Minh,south_east,False,False,100,A
worker_0035,64,female,university,single,công trình|xây dựng|xây tô|salary_range,30,Buôn Ma Thuột,Lao động xây dựng,family|other|health,unemployed,0,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0036,63,other,primary,single,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Vĩnh Phúc,Nông dân / Nông nghiệp,location|techGap,unemployed,0,Vĩnh Phúc,north,False,False,100,A
worker_0037,41,female,primary,widowed,lắp ráp|sản xuất|vận hành máy|salary_range,14,Đà Nẵng,Công nhân sản xuất,other,employed,11198253,Đà Nẵng,central,False,False,100,A
worker_0038,45,male,primary,married,chào hỏi|order|phục vụ|salary_range,24,Vũng Tàu,Nhân viên phục vụ,health|location|family,retired,10379780,Vũng Tàu,south_east,False,False,100,A
worker_0039,43,male,university,widowed,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,17,Biên Hòa,Nhân viên bán hàng,family|location|other,self-employed,7413115,Biên Hòa,south_east,False,False,100,A
worker_0040,55,male,upper_secondary,widowed,sửa chữa|tay nghề|thợ|salary_range,30,Hải Phòng,Thợ lành nghề,techGap,unemployed,0,Hải Phòng,north,False,False,100,A
worker_0041,47,other,primary,single,barista|pha chế|đồ uống|salary_range,18,Thanh Hóa,Pha chế,location|techGap,employed,6543797,Thanh Hóa,north,False,False,100,A
worker_0042,46,male,primary,married,an ninh|bảo vệ|tuần tra|salary_range,26,Vũng Tàu,Bảo vệ,health,retired,10284343,Vũng Tàu,south_east,False,False,100,A
worker_0043,65,other,college,single,dọn dẹp|giặt là|nấu ăn|salary_range,30,Thái Nguyên,Giúp việc / Dịch vụ,health|location,self-employed,6141534,Thái Nguyên,north,False,False,100,A
worker_0044,37,other,primary,divorced,công trình|xây dựng|xây tô|salary_range,9,Thanh Hóa,Lao động xây dựng,other,unemployed,0,Thanh Hóa,north,False,False,100,A
worker_0045,39,female,primary,single,bằng lái|lái xe|vận chuyển|salary_range,15,Biên Hòa,Lái xe,location|other,self-employed,10289034,Biên Hòa,south_east,False,False,100,A
worker_0046,57,other,college,widowed,sửa chữa|tay nghề|thợ|salary_range,30,Bắc Ninh,Thợ lành nghề,location|health|techGap,unemployed,0,Bắc Ninh,north,False,False,100,A
worker_0047,39,female,primary,divorced,dọn dẹp|giặt là|nấu ăn|salary_range,12,Bắc Ninh,Giúp việc / Dịch vụ,,self-employed,10908210,Bắc Ninh,north,False,False,100,A
worker_0048,64,other,primary,divorced,bằng lái|lái xe|vận chuyển|salary_range,30,Vũng Tàu,Lái xe,techGap,retired,8749122,Vũng Tàu,south_east,False,False,100,A
worker_0049,63,male,college,married,sửa chữa|tay nghề|thợ|salary_range,30,Đà Nẵng,Thợ lành nghề,,employed,7277965,Đà Nẵng,central,False,False,100,A
worker_0050,56,other,primary,single,chăn nuôi|nông nghiệp|trồng trọt|salary_range,26,Bắc Ninh,Nông dân / Nông nghiệp,health|techGap,retired,6421827,Bắc Ninh,north,False,False,100,A
worker_0051,37,male,upper_secondary,married,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,9,Vũng Tàu,Nhân viên bán hàng,health|other,self-employed,14113838,Vũng Tàu,south_east,False,False,100,A
worker_0052,59,male,upper_secondary,divorced,an ninh|bảo vệ|tuần tra|salary_range,30,Bình Dương,Bảo vệ,,self-employed,14917156,Bình Dương,south_east,False,False,100,A
worker_0053,65,female,primary,divorced,bằng lái|lái xe|vận chuyển|salary_range,30,Hải Dương,Lái xe,techGap|health,retired,12725871,Hải Dương,north,False,False,100,A
worker_0054,35,female,primary,divorced,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,8,Cần Thơ,Nhân viên kho vận,techGap,unemployed,0,Cần Thơ,mekong,False,False,100,A
worker_0055,37,other,college,divorced,an ninh|bảo vệ|tuần tra|salary_range,13,Bắc Ninh,Bảo vệ,techGap|health|family,retired,13956556,Bắc Ninh,north,False,False,100,A
worker_0056,53,male,college,divorced,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Bắc Ninh,Nhân viên kho vận,other,employed,12230179,Bắc Ninh,north,False,False,100,A
worker_0057,47,female,university,single,chăn nuôi|nông nghiệp|trồng trọt|salary_range,26,Vũng Tàu,Nông dân / Nông nghiệp,family|location|techGap,retired,9435235,Vũng Tàu,south_east,False,False,100,A
worker_0058,35,male,upper_secondary,married,chào hỏi|order|phục vụ|salary_range,8,Thái Nguyên,Nhân viên phục vụ,techGap,employed,14729103,Thái Nguyên,north,False,False,100,A
worker_0059,46,male,primary,married,barista|pha chế|đồ uống|salary_range,20,Vinhy,Pha chế,family|techGap,unemployed,0,Vinh,north,False,False,100,A
worker_0060,65,other,upper_secondary,divorced,hành chính|kế toán|văn phòng|salary_range,30,Vũng Tàu,Kế toán / Hành chính,location,employed,13100301,Vũng Tàu,south_east,False,False,100,A
worker_0061,51,female,upper_secondary,divorced,an ninh|bảo vệ|tuần tra|salary_range,25,Bắc Ninh,Bảo vệ,techGap|location|family,unemployed,0,Bắc Ninh,north,False,False,100,A
worker_0062,37,female,primary,single,sửa chữa|tay nghề|thợ|salary_range,16,Bình Dương,Thợ lành nghề,location,self-employed,12309629,Bình Dương,south_east,False,False,100,A
worker_0063,56,female,university,divorced,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Hải Dương,Nông dân / Nông nghiệp,,employed,9431255,Hải Dương,north,False,False,100,A
worker_0064,37,female,primary,divorced,lắp ráp|sản xuất|vận hành máy|salary_range,13,Hải Dương,Công nhân sản xuất,family|other|location,employed,13444800,Hải Dương,north,False,False,100,A
worker_0065,44,male,college,divorced,công trình|xây dựng|xây tô|salary_range,19,Vĩnh Phúc,Lao động xây dựng,health|location|family,unemployed,0,Vĩnh Phúc,north,False,False,100,A
worker_0066,58,male,university,married,hành chính|kế toán|văn phòng|salary_range,29,Vinhy,Kế toán / Hành chính,techGap|health|other,retired,12949806,Vinh,north,False,False,100,A
worker_0067,37,female,college,divorced,chăn nuôi|nông nghiệp|trồng trọt|salary_range,15,Qui Nhơn,Nông dân / Nông nghiệp,location|techGap|other,self-employed,9253588,Quy Nhơn,central,False,False,100,A
worker_0068,44,male,university,married,dọn dẹp|giặt là|nấu ăn|salary_range,23,Nam Định,Giúp việc / Dịch vụ,location|techGap|family,retired,4211945,Nam Định,north,False,False,100,A
worker_0069,41,female,upper_secondary,single,an ninh|bảo vệ|tuần tra|salary_range,17,Vinhy,Bảo vệ,health|family|location,unemployed,0,Vinh,north,False,False,100,A
worker_0070,58,female,college,divorced,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Huế,Nhân viên kho vận,other,self-employed,14098897,Huế,central,False,False,100,A
worker_0071,57,other,upper_secondary,widowed,công trình|xây dựng|xây tô|salary_range,30,Vinhy,Lao động xây dựng,other|health|location,retired,4956687,Vinh,north,False,False,100,A
worker_0072,44,male,upper_secondary,widowed,bằng lái|lái xe|vận chuyển|salary_range,19,Biên Hòa,Lái xe,,unemployed,0,Biên Hòa,south_east,False,False,100,A
worker_0073,35,male,university,married,chăn nuôi|nông nghiệp|trồng trọt|salary_range,10,Biên Hòa,Nông dân / Nông nghiệp,family|location,unemployed,0,Biên Hòa,south_east,False,False,100,A
worker_0074,36,male,college,single,công trình|xây dựng|xây tô|salary_range,13,TP. Hồ Chí Minh,Lao động xây dựng,,unemployed,0,Hồ Chí Minh,south_east,False,False,100,A
worker_0075,64,other,primary,married,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Bắc Ninh,Nhân viên kho vận,other|health,unemployed,0,Bắc Ninh,north,False,False,100,A
worker_0076,57,female,college,widowed,chăn nuôi|nông nghiệp|trồng trọt|salary_range,29,Vĩnh Phúc,Nông dân / Nông nghiệp,techGap,retired,6755184,Vĩnh Phúc,north,False,False,100,A
worker_0077,47,male,primary,widowed,hành chính|kế toán|văn phòng|salary_range,24,TP. Hồ Chí Minh,Kế toán / Hành chính,,self-employed,6936936,Hồ Chí Minh,south_east,False,False,100,A
worker_0078,61,other,college,married,chào hỏi|order|phục vụ|salary_range,30,Hà Nội,Nhân viên phục vụ,location|health,unemployed,0,Hà Nội,north,False,False,100,A
worker_0079,51,other,primary,divorced,an ninh|bảo vệ|tuần tra|salary_range,24,Vinhy,Bảo vệ,techGap|location,retired,14974549,Vinh,north,False,False,100,A
worker_0080,50,other,college,single,lắp ráp|sản xuất|vận hành máy|salary_range,21,Huế,Công nhân sản xuất,,unemployed,0,Huế,central,False,False,100,A
worker_0081,57,other,college,single,sửa chữa|tay nghề|thợ|salary_range,30,Qui Nhơn,Thợ lành nghề,techGap,unemployed,0,Quy Nhơn,central,False,False,100,A
worker_0082,49,male,college,widowed,công trình|xây dựng|xây tô|salary_range,29,Nam Định,Lao động xây dựng,,retired,11030070,Nam Định,north,False,False,100,A
worker_0083,54,male,upper_secondary,single,an ninh|bảo vệ|tuần tra|salary_range,30,Buôn Ma Thuột,Bảo vệ,,employed,7569359,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0084,65,female,college,single,dọn dẹp|giặt là|nấu ăn|salary_range,30,Bắc Ninh,Giúp việc / Dịch vụ,,unemployed,0,Bắc Ninh,north,False,False,100,A
worker_0085,64,female,university,divorced,chào hỏi|order|phục vụ|salary_range,30,Huế,Nhân viên phục vụ,family|health,employed,6575696,Huế,central,False,False,100,A
worker_0086,46,other,primary,single,barista|pha chế|đồ uống|salary_range,20,Vĩnh Phúc,Pha chế,family,self-employed,10012492,Vĩnh Phúc,north,False,False,100,A
worker_0087,65,male,university,widowed,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,30,Thanh Hóa,Nhân viên bán hàng,other|family|location,unemployed,0,Thanh Hóa,north,False,False,100,A
worker_0088,54,female,college,widowed,chào hỏi|order|phục vụ|salary_range,25,Biên Hòa,Nhân viên phục vụ,techGap,employed,10645802,Biên Hòa,south_east,False,False,100,A
worker_0089,38,female,upper_secondary,divorced,lắp ráp|sản xuất|vận hành máy|salary_range,8,Vĩnh Phúc,Công nhân sản xuất,techGap|other|family,employed,8819373,Vĩnh Phúc,north,False,False,100,A
worker_0090,38,male,primary,married,lắp ráp|sản xuất|vận hành máy|salary_range,17,Bình Dương,Công nhân sản xuất,location|family,employed,8756750,Bình Dương,south_east,False,False,100,A
worker_0091,49,female,university,married,dọn dẹp|giặt là|nấu ăn|salary_range,19,TP. Hồ Chí Minh,Giúp việc / Dịch vụ,location|health,employed,6750351,Hồ Chí Minh,south_east,False,False,100,A
worker_0092,58,female,primary,divorced,bằng lái|lái xe|vận chuyển|salary_range,30,Vinhy,Lái xe,other|health|location,retired,14563975,Vinh,north,False,False,100,A
worker_0093,55,male,upper_secondary,married,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,30,Qui Nhơn,Nhân viên bán hàng,,unemployed,0,Quy Nhơn,central,False,False,100,A
worker_0094,58,male,college,married,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Đà Nẵng,Nhân viên kho vận,family|health,retired,8938050,Đà Nẵng,central,False,False,100,A
worker_0095,63,other,college,single,chào hỏi|order|phục vụ|salary_range,30,Huế,Nhân viên phục vụ,other|health|family,self-employed,10930449,Huế,central,False,False,100,A
worker_0096,37,other,college,widowed,bằng lái|lái xe|vận chuyển|salary_range,9,Thanh Hóa,Lái xe,,retired,12300263,Thanh Hóa,north,False,False,100,A
worker_0097,62,other,upper_secondary,divorced,lắp ráp|sản xuất|vận hành máy|salary_range,30,Đà Nẵng,Công nhân sản xuất,family,unemployed,0,Đà Nẵng,central,False,False,100,A
worker_0098,52,female,college,widowed,chào hỏi|order|phục vụ|salary_range,30,Nam Định,Nhân viên phục vụ,family|techGap,retired,8641055,Nam Định,north,False,False,100,A
worker_0099,35,other,university,divorced,an ninh|bảo vệ|tuần tra|salary_range,12,Vinhy,Bảo vệ,health|techGap|family,unemployed,0,Vinh,north,False,False,100,A
worker_0100,42,female,university,widowed,chăn nuôi|nông nghiệp|trồng trọt|salary_range,21,Qui Nhơn,Nông dân / Nông nghiệp,other|techGap,unemployed,0,Quy Nhơn,central,False,False,100,A
worker_0101,65,other,primary,divorced,barista|pha chế|đồ uống|salary_range,30,Vũng Tàu,Pha chế,,employed,4185812,Vũng Tàu,south_east,False,False,100,A
worker_0102,39,female,university,widowed,bằng lái|lái xe|vận chuyển|salary_range,15,Cần Thơ,Lái xe,health,retired,4382211,Cần Thơ,mekong,False,False,100,A
worker_0103,57,male,university,single,an ninh|bảo vệ|tuần tra|salary_range,30,Nha Trang,Bảo vệ,location|other|techGap,self-employed,5665056,Nha Trang,central,False,False,100,A
worker_0104,56,other,college,divorced,barista|pha chế|đồ uống|salary_range,30,Nha Trang,Pha chế,,self-employed,5655375,Nha Trang,central,False,False,100,A
worker_0105,60,female,university,married,an ninh|bảo vệ|tuần tra|salary_range,30,Nam Định,Bảo vệ,location|family|techGap,retired,7952224,Nam Định,north,False,False,100,A
worker_0106,52,other,primary,married,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,26,Thanh Hóa,Nhân viên bán hàng,,self-employed,6217890,Thanh Hóa,north,False,False,100,A
worker_0107,63,male,college,single,barista|pha chế|đồ uống|salary_range,30,Vĩnh Phúc,Pha chế,health,self-employed,3217248,Vĩnh Phúc,north,False,False,100,A
worker_0108,49,male,college,divorced,bằng lái|lái xe|vận chuyển|salary_range,26,Hải Phòng,Lái xe,family|health|techGap,employed,13239336,Hải Phòng,north,False,False,100,A
worker_0109,37,male,primary,divorced,chào hỏi|order|phục vụ|salary_range,14,Bình Dương,Nhân viên phục vụ,location|family|other,employed,6080345,Bình Dương,south_east,False,False,100,A
worker_0110,37,female,upper_secondary,married,hành chính|kế toán|văn phòng|salary_range,17,Nam Định,Kế toán / Hành chính,family|location|other,employed,11808004,Nam Định,north,False,False,100,A
worker_0111,51,other,primary,single,sửa chữa|tay nghề|thợ|salary_range,29,Đà Lạt,Thợ lành nghề,location,unemployed,0,Đà Lạt,central_highlands,False,False,100,A
worker_0112,46,male,college,single,lắp ráp|sản xuất|vận hành máy|salary_range,26,Đà Lạt,Công nhân sản xuất,,unemployed,0,Đà Lạt,central_highlands,False,False,100,A
worker_0113,62,female,upper_secondary,divorced,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Thanh Hóa,Nhân viên kho vận,other|location|family,unemployed,0,Thanh Hóa,north,False,False,100,A
worker_0114,40,other,upper_secondary,widowed,lắp ráp|sản xuất|vận hành máy|salary_range,11,Bình Dương,Công nhân sản xuất,,retired,7078781,Bình Dương,south_east,False,False,100,A
worker_0115,59,male,college,single,lắp ráp|sản xuất|vận hành máy|salary_range,30,Bình Dương,Công nhân sản xuất,,unemployed,0,Bình Dương,south_east,False,False,100,A
worker_0116,53,other,college,married,chào hỏi|order|phục vụ|salary_range,28,Hà Nội,Nhân viên phục vụ,other|techGap,self-employed,7391275,Hà Nội,north,False,False,100,A
worker_0117,39,male,college,married,chăn nuôi|nông nghiệp|trồng trọt|salary_range,12,Thái Nguyên,Nông dân / Nông nghiệp,techGap|family|location,employed,14566099,Thái Nguyên,north,False,False,100,A
worker_0118,63,female,upper_secondary,divorced,hành chính|kế toán|văn phòng|salary_range,30,Nam Định,Kế toán / Hành chính,location|health|family,retired,14600988,Nam Định,north,False,False,100,A
worker_0119,51,other,upper_secondary,widowed,dọn dẹp|giặt là|nấu ăn|salary_range,24,Thanh Hóa,Giúp việc / Dịch vụ,other,unemployed,0,Thanh Hóa,north,False,False,100,A
worker_0120,57,male,college,married,an ninh|bảo vệ|tuần tra|salary_range,29,Nam Định,Bảo vệ,other|family,unemployed,0,Nam Định,north,False,False,100,A
worker_0121,38,other,college,widowed,bằng lái|lái xe|vận chuyển|salary_range,13,Đà Lạt,Lái xe,other,self-employed,3582683,Đà Lạt,central_highlands,False,False,100,A
worker_0122,58,other,upper_secondary,divorced,bằng lái|lái xe|vận chuyển|salary_range,30,Hải Dương,Lái xe,,employed,7812523,Hải Dương,north,False,False,100,A
worker_0123,54,other,college,single,công trình|xây dựng|xây tô|salary_range,30,Bắc Ninh,Lao động xây dựng,,retired,9334368,Bắc Ninh,north,False,False,100,A
worker_0124,62,male,college,married,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Cần Thơ,Nhân viên kho vận,location,unemployed,0,Cần Thơ,mekong,False,False,100,A
worker_0125,61,other,upper_secondary,married,kho bãi|quản lý hàng hóa|xuất nhập khẩu|salary_range,30,Vũng Tàu,Nhân viên kho vận,location,employed,14035273,Vũng Tàu,south_east,False,False,100,A
worker_0126,36,female,upper_secondary,divorced,công trình|xây dựng|xây tô|salary_range,13,TP. Hồ Chí Minh,Lao động xây dựng,location,employed,6418619,Hồ Chí Minh,south_east,False,False,100,A
worker_0127,40,male,upper_secondary,married,barista|pha chế|đồ uống|salary_range,14,Cần Thơ,Pha chế,other|techGap|family,retired,9514659,Cần Thơ,mekong,False,False,100,A
worker_0128,35,male,primary,single,sửa chữa|tay nghề|thợ|salary_range,8,Hải Dương,Thợ lành nghề,techGap|other,retired,13327008,Hải Dương,north,False,False,100,A
worker_0129,60,other,primary,divorced,công trình|xây dựng|xây tô|salary_range,30,Vĩnh Phúc,Lao động xây dựng,health|family,unemployed,0,Vĩnh Phúc,north,False,False,100,A
worker_0130,49,male,college,divorced,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,29,Buôn Ma Thuột,Nhân viên bán hàng,location,retired,8859528,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0131,54,male,primary,divorced,sửa chữa|tay nghề|thợ|salary_range,25,Thanh Hóa,Thợ lành nghề,location,retired,6515108,Thanh Hóa,north,False,False,100,A
worker_0132,53,other,university,single,dọn dẹp|giặt là|nấu ăn|salary_range,26,Hải Dương,Giúp việc / Dịch vụ,health|family,employed,13630348,Hải Dương,north,False,False,100,A
worker_0133,53,other,university,widowed,an ninh|bảo vệ|tuần tra|salary_range,23,Nam Định,Bảo vệ,family|other,unemployed,0,Nam Định,north,False,False,100,A
worker_0134,44,female,upper_secondary,single,bán hàng|chăm sóc khách hàng|tư vấn|salary_range,17,TP. Hồ Chí Minh,Nhân viên bán hàng,health,self-employed,8135324,Hồ Chí Minh,south_east,False,False,100,A
worker_0135,35,other,upper_secondary,married,chào hỏi|order|phục vụ|salary_range,10,Hải Dương,Nhân viên phục vụ,family|health|location,retired,8718133,Hải Dương,north,False,False,100,A
worker_0136,38,other,university,single,dọn dẹp|giặt là|nấu ăn|salary_range,18,Huế,Giúp việc / Dịch vụ,other,retired,13116639,Huế,central,False,False,100,A
worker_0137,46,female,primary,single,barista|pha chế|đồ uống|salary_range,23,Vĩnh Phúc,Pha chế,techGap,unemployed,0,Vĩnh Phúc,north,False,False,100,A
worker_0138,57,male,college,married,an ninh|bảo vệ|tuần tra|salary_range,30,Buôn Ma Thuột,Bảo vệ,,retired,9471448,Buôn Ma Thuột,central_highlands,False,False,100,A
worker_0139,47,male,primary,married,chăn nuôi|nông nghiệp|trồng trọt|salary_range,18,Biên Hòa,Nông dân / Nông nghiệp,techGap|family,self-employed,8620502,Biên Hòa,south_east,False,False,100,A
worker_0140,65,female,primary,widowed,công trình|xây dựng|xây tô|salary_range,30,TP. Hồ Chí Minh,Lao động xây dựng,,self-employed,6835504,Hồ Chí Minh,south_east,False,False,100,A
worker_0141,41,female,college,widowed,chăn nuôi|nông nghiệp|trồng trọt|salary_range,14,Vĩnh Phúc,Nông dân / Nông nghiệp,other|health,unemployed,0,Vĩnh Phúc,north,False,False,100,A
worker_0142,44,male,primary,married,sửa chữa|tay nghề|thợ|salary_range,15,Vũng Tàu,Thợ lành nghề,other|techGap,employed,13580519,Vũng Tàu,south_east,False,False,100,A
worker_0143,48,male,primary,married,dọn dẹp|giặt là|nấu ăn|salary_range,22,Thái Nguyên,Giúp việc / Dịch vụ,other,retired,12826109,Thái Nguyên,north,False,False,100,A
worker_0144,44,female,primary,divorced,hành chính|kế toán|văn phòng|salary_range,19,Vinhy,Kế toán / Hành chính,health|family,unemployed,0,Vinh,north,False,False,100,A
worker_0145,65,other,university,single,an ninh|bảo vệ|tuần tra|salary_range,30,Nha Trang,Bảo vệ,techGap|family,unemployed,0,Nha Trang,central,False,False,100,A
worker_0146,58,other,primary,divorced,chăn nuôi|nông nghiệp|trồng trọt|salary_range,30,Hải Dương,Nông dân / Nông nghiệp,health|location,unemployed,0,Hải Dương,north,False,False,100,A
worker_0147,53,other,upper_secondary,widowed,công trình|xây dựng|xây tô|salary_range,28,Hải Dương,Lao động xây dựng,health,retired,12636447,Hải Dương,north,False,False,100,A
worker_0148,56,female,college,widowed,chào hỏi|order|phục vụ|salary_range,30,Biên Hòa,Nhân viên phục vụ,health,self-employed,9847563,Biên Hòa,south_east,False,False,100,A
worker_0149,59,female,upper_secondary,married,công trình|xây dựng|xây tô|salary_range,30,Vinhy,Lao động xây dựng,family,unemployed,0,Vinh,north,False,False,100,A
worker_0150,59,male,college,single,dọn dẹp|giặt là|nấu ăn|salary_range,30,Hà Nội,Giúp việc / Dịch vụ,other,employed,9976494,Hà Nội,north,False,False,100,A
