id,age,gender,education,marital_status,skills,experience_years,location,target_job,barriers,employment_status,current_salary
worker_0080,50,other,college,single,skills|salary_range,21,Huế,Công nhân sản xuất,,unemployed,0
worker_0081,57,other,vocational,single,skills,30,Qui Nhơn,Thợ lành nghề,techGap,unemployed,0
worker_0082,49,male,vocational,widowed,skills,29,Nam Định,Lao động xây dựng,,retired,11030070
worker_0083,54,male,middle,single,skills|salary_range,30,Buôn Ma Thuột,Bảo vệ,,employed,7569359
worker_0084,65,female,vocational,single,skills,30,Bắc Ninh,Giúp việc / Dịch vụ,,unemployed,0
worker_0085,64,female,university,divorced,salary_range|skills,30,Huế,Nhân viên phục vụ,family|health,employed,6575696
worker_0086,46,other,none,single,skills|salary_range,20,Vĩnh Phúc,Pha chế,family,self-employed,10012492
worker_0087,65,male,university,widowed,skills|salary_range,30,Thanh Hóa,Nhân viên bán hàng,other|family|location,unemployed,0
worker_0088,54,female,vocational,widowed,skills|salary_range,25,Biên Hòa,Nhân viên phục vụ,techGap,employed,10645802
worker_0089,38,female,high,divorced,salary_range,8,Vĩnh Phúc,Công nhân sản xuất,techGap|other|family,employed,8819373
worker_0090,38,male,primary,married,salary_range|skills,17,Bình Dương,Công nhân sản xuất,location|family,employed,8756750
worker_0091,49,female,university,married,salary_range|skills,19,TP. Hồ Chí Minh,Giúp việc / Dịch vụ,location|health,employed,6750351
worker_0092,58,female,none,divorced,skills|salary_range,30,Vinhy,Lái xe,other|health|location,retired,14563975
worker_0093,55,male,high,married,skills|salary_range,30,Qui Nhơn,Nhân viên bán hàng,,unemployed,0
worker_0094,58,male,college,married,salary_range|skills,30,Đà Nẵng,Nhân viên kho vận,family|health,retired,8938050
worker_0095,63,other,vocational,single,salary_range|skills,30,Huế,Nhân viên phục vụ,other|health|family,self-employed,10930449
worker_0096,37,other,vocational,widowed,salary_range|skills,9,Thanh Hóa,Lái xe,,retired,12300263
worker_0097,62,other,middle,divorced,salary_range|skills,30,Đà Nẵng,Công nhân sản xuất,family,unemployed,0
worker_0098,52,female,college,widowed,skills|salary_range,30,Nam Định,Nhân viên phục vụ,family|techGap,retired,8641055
worker_0099,35,other,university,divorced,salary_range|skills,12,Vinhy,Bảo vệ,health|techGap|family,unemployed,0
worker_0100,42,female,university,widowed,skills,21,Qui Nhơn,Nông dân / Nông nghiệp,other|techGap,unemployed,0
worker_0101,65,other,none,divorced,salary_range|skills,30,Vũng Tàu,Pha chế,,employed,4185812
worker_0102,39,female,university,widowed,salary_range|skills,15,Cần Thơ,Lái xe,health,retired,4382211
worker_0103,57,male,university,single,skills|salary_range,30,Nha Trang,Bảo vệ,location|other|techGap,self-employed,5665056
worker_0104,56,other,college,divorced,skills|salary_range,30,Nha Trang,Pha chế,,self-employed,5655375
worker_0105,60,female,university,married,skills|salary_range,30,Nam Định,Bảo vệ,location|family|techGap,retired,7952224
worker_0106,52,other,none,married,skills|salary_range,26,Thanh Hóa,Nhân viên bán hàng,,self-employed,6217890
worker_0107,63,male,vocational,single,salary_range|skills,30,Vĩnh Phúc,Pha chế,health,self-employed,3217248
worker_0108,49,male,college,divorced,salary_range|skills,26,Hải Phòng,Lái xe,family|health|techGap,employed,13239336
worker_0109,37,male,none,divorced,skills,14,Bình Dương,Nhân viên phục vụ,location|family|other,employed,6080345
worker_0110,37,female,middle,married,skills|salary_range,17,Nam Định,Kế toán / Hành chính,family|location|other,employed,11808004
worker_0111,51,other,primary,single,skills|salary_range,29,Đà Lạt,Thợ lành nghề,location,unemployed,0
worker_0112,46,male,vocational,single,skills|salary_range,26,Đà Lạt,Công nhân sản xuất,,unemployed,0
worker_0113,62,female,middle,divorced,skills|salary_range,30,Thanh Hóa,Nhân viên kho vận,other|location|family,unemployed,0
worker_0114,40,other,high,widowed,skills|salary_range,11,Bình Dương,Công nhân sản xuất,,retired,7078781
worker_0115,59,male,vocational,single,skills|salary_range,30,Bình Dương,Công nhân sản xuất,,unemployed,0
worker_0116,53,other,vocational,married,skills|salary_range,28,Hà Nội,Nhân viên phục vụ,other|techGap,self-employed,7391275
worker_0117,39,male,college,married,skills|salary_range,12,Thái Nguyên,Nông dân / Nông nghiệp,techGap|family|location,employed,14566099
worker_0118,63,female,middle,divorced,salary_range|skills,30,Nam Định,Kế toán / Hành chính,location|health|family,retired,14600988
worker_0119,51,other,high,widowed,salary_range|skills,24,Thanh Hóa,Giúp việc / Dịch vụ,other,unemployed,0
worker_0120,57,male,college,married,salary_range,29,Nam Định,Bảo vệ,other|family,unemployed,0
worker_0121,38,other,vocational,widowed,salary_range|skills,13,Đà Lạt,Lái xe,other,self-employed,3582683
worker_0122,58,other,high,divorced,salary_range|skills,30,Hải Dương,Lái xe,,employed,7812523
worker_0123,54,other,college,single,salary_range|skills,30,Bắc Ninh,Lao động xây dựng,,retired,9334368
worker_0124,62,male,vocational,married,salary_range|skills,30,Cần Thơ,Nhân viên kho vận,location,unemployed,0
worker_0125,61,other,high,married,salary_range|skills,30,Vũng Tàu,Nhân viên kho vận,location,employed,14035273
worker_0126,36,female,middle,divorced,salary_range|skills,13,TP. Hồ Chí Minh,Lao động xây dựng,location,employed,6418619
worker_0127,40,male,middle,married,salary_range|skills,14,Cần Thơ,Pha chế,other|techGap|family,retired,9514659
worker_0128,35,male,primary,single,skills|salary_range,8,Hải Dương,Thợ lành nghề,techGap|other,retired,13327008
worker_0129,60,other,primary,divorced,skills|salary_range,30,Vĩnh Phúc,Lao động xây dựng,health|family,unemployed,0
worker_0130,49,male,vocational,divorced,salary_range|skills,29,Buôn Ma Thuột,Nhân viên bán hàng,location,retired,8859528
worker_0131,54,male,primary,divorced,skills|salary_range,25,Thanh Hóa,Thợ lành nghề,location,retired,6515108
worker_0132,53,other,university,single,skills|salary_range,26,Hải Dương,Giúp việc / Dịch vụ,health|family,employed,13630348
worker_0133,53,other,university,widowed,skills|salary_range,23,Nam Định,Bảo vệ,family|other,unemployed,0
worker_0134,44,female,high,single,skills|salary_range,17,TP. Hồ Chí Minh,Nhân viên bán hàng,health,self-employed,8135324
worker_0135,35,other,high,married,salary_range|skills,10,Hải Dương,Nhân viên phục vụ,family|health|location,retired,8718133
worker_0136,38,other,university,single,skills|salary_range,18,Huế,Giúp việc / Dịch vụ,other,retired,13116639
worker_0137,46,female,primary,single,skills|salary_range,23,Vĩnh Phúc,Pha chế,techGap,unemployed,0
worker_0138,57,male,college,married,salary_range|skills,30,Buôn Ma Thuột,Bảo vệ,,retired,9471448
worker_0139,47,male,primary,married,skills|salary_range,18,Biên Hòa,Nông dân / Nông nghiệp,techGap|family,self-employed,8620502
worker_0140,65,female,none,widowed,skills|salary_range,30,TP. Hồ Chí Minh,Lao động xây dựng,,self-employed,6835504
worker_0141,41,female,vocational,widowed,skills|salary_range,14,Vĩnh Phúc,Nông dân / Nông nghiệp,other|health,unemployed,0
worker_0142,44,male,primary,married,salary_range|skills,15,Vũng Tàu,Thợ lành nghề,other|techGap,employed,13580519
worker_0143,48,male,primary,married,skills|salary_range,22,Thái Nguyên,Giúp việc / Dịch vụ,other,retired,12826109
worker_0144,44,female,primary,divorced,salary_range|skills,19,Vinhy,Kế toán / Hành chính,health|family,unemployed,0
worker_0145,65,other,university,single,skills,30,Nha Trang,Bảo vệ,techGap|family,unemployed,0
worker_0146,58,other,primary,divorced,salary_range|skills,30,Hải Dương,Nông dân / Nông nghiệp,health|location,unemployed,0
worker_0147,53,other,middle,widowed,salary_range,28,Hải Dương,Lao động xây dựng,health,retired,12636447
worker_0148,56,female,college,widowed,salary_range|skills,30,Biên Hòa,Nhân viên phục vụ,health,self-employed,9847563
worker_0149,59,female,high,married,salary_range,30,Vinhy,Lao động xây dựng,family,unemployed,0
worker_0150,59,male,college,single,salary_range|skills,30,Hà Nội,Giúp việc / Dịch vụ,other,employed,9976494
worker_0151,35,other,middle,divorced,salary_range|skills,14,Bắc Ninh,Bảo vệ,location,retired,11174629
worker_0152,54,female,university,single,salary_range|skills,27,Hải Dương,Pha chế,other|location|health,self-employed,5523942
worker_0153,51,male,high,divorced,skills|salary_range,24,Huế,Nhân viên phục vụ,health|other|techGap,retired,8455650
worker_0154,59,male,none,married,salary_range,30,Vinhy,Bảo vệ,,unemployed,0
worker_0155,35,male,college,divorced,skills|salary_range,8,Đà Lạt,Kế toán / Hành chính,family,self-employed,6869654
worker_0156,46,other,vocational,married,skills|salary_range,17,Hải Phòng,Pha chế,,unemployed,0
worker_0157,57,female,primary,divorced,skills|salary_range,28,Thái Nguyên,Nhân viên phục vụ,other|techGap|health,unemployed,0
worker_0158,37,male,university,single,salary_range|skills,9,Nha Trang,Lao động xây dựng,other|family|techGap,unemployed,0
worker_0159,59,male,vocational,married,salary_range|skills,30,Hà Nội,Pha chế,location|techGap,retired,11118312
worker_0160,48,other,university,married,salary_range|skills,18,Vĩnh Phúc,Lao động xây dựng,health|family,self-employed,10066289
worker_0161,44,other,middle,divorced,skills|salary_range,21,Thanh Hóa,Nhân viên kho vận,other|family,self-employed,5209284
worker_0162,53,female,none,divorced,salary_range|skills,23,Vĩnh Phúc,Bảo vệ,,retired,14893985
worker_0163,44,male,primary,divorced,salary_range|skills,19,Vinhy,Kế toán / Hành chính,health,employed,4578701
worker_0164,43,other,high,divorced,salary_range|skills,13,Cần Thơ,Công nhân sản xuất,health,retired,7357803
worker_0165,54,male,college,widowed,skills|salary_range,26,Cần Thơ,Nhân viên bán hàng,health|techGap,employed,7686847
worker_0166,54,male,none,divorced,salary_range|skills,30,Hải Dương,Giúp việc / Dịch vụ,,unemployed,0
worker_0167,37,female,none,single,salary_range|skills,8,Buôn Ma Thuột,Lái xe,location|health,retired,13672733
worker_0168,55,other,middle,divorced,salary_range|skills,26,Hà Nội,Bảo vệ,location|other,unemployed,0
worker_0169,53,female,high,married,salary_range|skills,30,Vĩnh Phúc,Giúp việc / Dịch vụ,other|techGap|location,unemployed,0
worker_0170,55,other,primary,married,salary_range|skills,30,Hải Phòng,Nhân viên phục vụ,location|family|other,retired,14880887
worker_0171,49,other,college,married,salary_range|skills,26,Cần Thơ,Nông dân / Nông nghiệp,location|other,self-employed,10602252
worker_0172,64,female,university,divorced,skills|salary_range,30,Nam Định,Pha chế,,unemployed,0
worker_0173,63,female,vocational,divorced,salary_range|skills,30,TP. Hồ Chí Minh,Thợ lành nghề,,retired,10689623
worker_0174,36,other,high,single,salary_range|skills,11,Cần Thơ,Nhân viên phục vụ,,self-employed,7331932
worker_0175,49,female,none,single,skills|salary_range,20,Hà Nội,Giúp việc / Dịch vụ,health|other|family,unemployed,0
worker_0176,65,male,primary,divorced,salary_range,30,Nha Trang,Lái xe,other|techGap|family,retired,12357538
worker_0177,65,male,vocational,married,skills|salary_range,30,Vĩnh Phúc,Giúp việc / Dịch vụ,location,retired,14453803
worker_0178,48,other,college,single,skills|salary_range,24,Nam Định,Giúp việc / Dịch vụ,location|family|techGap,retired,8433373
worker_0179,39,male,primary,single,skills|salary_range,15,Buôn Ma Thuột,Nhân viên phục vụ,family|location,unemployed,0
worker_0180,42,other,vocational,divorced,skills,22,Buôn Ma Thuột,Lao động xây dựng,,employed,12403581
worker_0181,47,female,none,single,salary_range,19,Hà Nội,Giúp việc / Dịch vụ,,self-employed,13555754
worker_0182,54,male,high,widowed,salary_range|skills,30,Nam Định,Công nhân sản xuất,family|other,employed,4664434
worker_0183,47,male,vocational,single,salary_range|skills,19,Qui Nhơn,Nhân viên phục vụ,other|family,employed,5518881
worker_0184,53,male,primary,married,skills,30,Hà Nội,Công nhân sản xuất,location,unemployed,0
worker_0185,64,other,university,single,salary_range|skills,30,Buôn Ma Thuột,Bảo vệ,,unemployed,0
worker_0186,42,female,middle,married,salary_range|skills,13,Đà Lạt,Nhân viên phục vụ,family|health,employed,14315779
worker_0187,52,other,vocational,married,salary_range|skills,30,Hải Phòng,Lao động xây dựng,location,self-employed,10958708
worker_0188,46,female,vocational,divorced,salary_range|skills,21,Nam Định,Nông dân / Nông nghiệp,health|other|family,self-employed,13033474
worker_0189,58,other,college,widowed,salary_range,30,Buôn Ma Thuột,Giúp việc / Dịch vụ,health,retired,14785197
worker_0190,47,male,university,married,salary_range|skills,20,Bắc Ninh,Nông dân / Nông nghiệp,techGap,employed,12501535
worker_0191,53,male,university,single,salary_range|skills,27,Cần Thơ,Nhân viên phục vụ,health,employed,12077401
worker_0192,37,male,high,divorced,skills|salary_range,9,Thanh Hóa,Nông dân / Nông nghiệp,family,self-employed,12369339
worker_0193,35,male,high,widowed,salary_range|skills,7,Bắc Ninh,Kế toán / Hành chính,health,retired,3326771
worker_0194,40,female,none,divorced,skills|salary_range,19,Buôn Ma Thuột,Lái xe,health,employed,10801587
worker_0195,49,male,university,married,skills|salary_range,22,TP. Hồ Chí Minh,Lái xe,family|location,retired,6864915
worker_0196,58,other,none,widowed,salary_range,30,Bình Dương,Nhân viên bán hàng,health|location,self-employed,14487414
worker_0197,62,other,university,married,skills|salary_range,30,TP. Hồ Chí Minh,Pha chế,techGap,self-employed,11533668
worker_0198,48,other,none,single,salary_range|skills,20,Cần Thơ,Lái xe,health|family,unemployed,0
worker_0199,63,female,college,single,skills|salary_range,30,Hà Nội,Bảo vệ,,self-employed,8428357
worker_0200,42,male,none,divorced,salary_range|skills,14,Hà Nội,Lao động xây dựng,other|family|health,unemployed,0
worker_0201,41,other,university,single,skills|salary_range,15,Nha Trang,Bảo vệ,health,retired,12156078
worker_0202,55,female,primary,married,salary_range|skills,27,Thanh Hóa,Kế toán / Hành chính,,employed,12371041
worker_0203,52,female,primary,married,salary_range|skills,24,Đà Nẵng,Bảo vệ,health|techGap,retired,13393430
worker_0204,65,male,middle,divorced,skills|salary_range,30,Vũng Tàu,Giúp việc / Dịch vụ,health|other,unemployed,0
worker_0205,48,female,vocational,single,skills,20,Thanh Hóa,Nhân viên bán hàng,techGap,employed,5552968
worker_0206,50,male,primary,single,salary_range|skills,27,Bắc Ninh,Giúp việc / Dịch vụ,techGap|location,retired,6133269
worker_0207,62,other,university,single,salary_range|skills,30,Nam Định,Kế toán / Hành chính,health,self-employed,14970823
worker_0208,61,other,university,single,salary_range|skills,30,Vĩnh Phúc,Pha chế,,self-employed,13205547
worker_0209,65,other,college,single,skills|salary_range,30,Thái Nguyên,Lái xe,location,employed,13049406
worker_0210,38,other,middle,married,salary_range|skills,18,TP. Hồ Chí Minh,Lái xe,techGap|location|health,retired,12050212
worker_0211,45,other,university,married,salary_range|skills,23,Bắc Ninh,Pha chế,family,unemployed,0
worker_0212,65,male,university,widowed,skills|salary_range,30,Hải Dương,Pha chế,,employed,14945407
worker_0213,44,female,high,single,skills|salary_range,23,Nha Trang,Nhân viên kho vận,family,unemployed,0
worker_0214,56,other,high,married,salary_range|skills,30,Vũng Tàu,Kế toán / Hành chính,techGap|health|family,retired,7459248
worker_0215,57,female,none,widowed,skills|salary_range,30,Thanh Hóa,Nông dân / Nông nghiệp,location|techGap|family,unemployed,0
worker_0216,58,female,primary,divorced,salary_range|skills,30,Đà Lạt,Thợ lành nghề,family,retired,5073442
worker_0217,44,female,high,single,salary_range|skills,14,Vinhy,Nông dân / Nông nghiệp,,unemployed,0
worker_0218,37,male,none,divorced,salary_range|skills,15,TP. Hồ Chí Minh,Nhân viên kho vận,techGap,unemployed,0
worker_0219,47,male,university,married,skills,27,Qui Nhơn,Công nhân sản xuất,location|family|health,unemployed,0
worker_0220,61,male,middle,widowed,skills|salary_range,30,Buôn Ma Thuột,Nhân viên phục vụ,location,employed,14021201
worker_0221,51,male,middle,divorced,skills|salary_range,30,Biên Hòa,Nhân viên kho vận,,retired,8841512
worker_0222,54,male,none,widowed,skills|salary_range,25,Hải Dương,Nhân viên bán hàng,techGap,self-employed,4101234
worker_0223,35,other,university,married,salary_range|skills,14,TP. Hồ Chí Minh,Nhân viên bán hàng,other|family|location,retired,3296992
worker_0224,54,female,primary,widowed,salary_range|skills,27,Hải Phòng,Kế toán / Hành chính,family|location|techGap,unemployed,0
worker_0225,60,female,middle,single,skills|salary_range,30,Nha Trang,Nhân viên bán hàng,location|other|techGap,unemployed,0
worker_0226,53,other,college,divorced,skills,23,Cần Thơ,Thợ lành nghề,health,self-employed,10665735
worker_0227,41,female,college,single,skills,13,Buôn Ma Thuột,Công nhân sản xuất,,retired,7799195
worker_0228,59,other,university,widowed,salary_range|skills,30,Vũng Tàu,Thợ lành nghề,other,employed,11761505
worker_0229,36,other,university,widowed,skills|salary_range,10,Thái Nguyên,Nhân viên kho vận,health|other|location,retired,14091926
worker_0230,52,female,none,single,skills,25,Thái Nguyên,Lao động xây dựng,location|family,unemployed,0
worker_0231,43,other,college,divorced,skills|salary_range,22,Bắc Ninh,Lái xe,techGap|health|family,employed,14874235
worker_0232,61,other,middle,divorced,skills|salary_range,30,Thái Nguyên,Công nhân sản xuất,other|health,retired,9322394
worker_0233,50,male,none,widowed,salary_range|skills,20,Đà Nẵng,Giúp việc / Dịch vụ,health|other,unemployed,0
worker_0234,43,other,college,divorced,skills|salary_range,17,Nam Định,Pha chế,health,retired,7336021
worker_0235,65,male,none,widowed,skills|salary_range,30,Biên Hòa,Kế toán / Hành chính,location|health|family,employed,3791761
worker_0236,38,female,primary,single,salary_range,11,Huế,Lái xe,other|location,self-employed,6662859
worker_0237,36,male,vocational,divorced,skills,14,Qui Nhơn,Kế toán / Hành chính,,self-employed,14605987
worker_0238,62,female,college,married,skills|salary_range,30,Cần Thơ,Công nhân sản xuất,location|techGap|family,self-employed,3605069
worker_0239,63,other,middle,married,salary_range|skills,30,Hải Phòng,Pha chế,family,unemployed,0
worker_0240,42,female,college,married,salary_range|skills,19,Vĩnh Phúc,Lái xe,family,employed,4385053
worker_0241,38,other,none,single,skills|salary_range,11,Đà Nẵng,Công nhân sản xuất,location,retired,6242871
worker_0242,38,male,none,single,salary_range,13,Thái Nguyên,Nhân viên phục vụ,health|location,employed,12316159
worker_0243,38,male,university,divorced,salary_range|skills,11,Đà Lạt,Kế toán / Hành chính,other|location|techGap,retired,3934434
worker_0244,59,other,none,single,skills|salary_range,30,Nam Định,Nhân viên phục vụ,,self-employed,6770147
worker_0245,49,male,college,divorced,skills|salary_range,26,Đà Nẵng,Nông dân / Nông nghiệp,family,employed,8456637
worker_0246,55,male,primary,widowed,skills|salary_range,30,Cần Thơ,Thợ lành nghề,location|other|health,employed,3322516
worker_0247,57,male,college,divorced,salary_range|skills,30,Buôn Ma Thuột,Nhân viên bán hàng,other|family|health,employed,9811276
worker_0248,55,male,none,married,salary_range|skills,30,Nam Định,Nhân viên kho vận,,self-employed,7972346
worker_0249,58,other,vocational,widowed,salary_range,30,Hải Dương,Lái xe,,self-employed,12291347
worker_0250,55,other,university,single,salary_range|skills,29,Vinhy,Bảo vệ,location|other|family,employed,12486115
worker_0251,61,male,primary,single,skills|salary_range,30,Biên Hòa,Nông dân / Nông nghiệp,health|family,unemployed,0
worker_0252,48,other,university,single,salary_range|skills,22,Cần Thơ,Bảo vệ,location|techGap,self-employed,7434176
