id,age,gender,education,marital_status,skills,experience_years,location,target_job,barriers,employment_status,current_salary,education_level_num,skills_normalized,barrier_health,barrier_family,barrier_techGap,barrier_location,barrier_language,barrier_score,barrier_level,region,location_normalized,cleaned_at
worker_0019,63,female,upper_secondary,divorced,salary_range,30.0,Huế,Nhân viên kho vận,,employed,5665709,3,True,0,0,0,0,0,0.0,low,central,thừa thiên huế,2026-04-19T00:38:59.534311
worker_0021,47,male,upper_secondary,single,salary_range|skills,19.0,Vinhy,Lái xe,other|techGap,retired,5586055,3,True,0,0,1,0,0,1.5,low,north,nghệ an,2026-04-19T00:38:59.534485
worker_0022,43,female,college,single,salary_range|skills,18.0,Nha Trang,Nhân viên kho vận,,self-employed,14345541,4,True,0,0,0,0,0,0.0,low,central,khánh hòa,2026-04-19T00:38:59.534577
worker_0023,43,other,upper_secondary,divorced,salary_range|skills,20.0,Vũng Tàu,Thợ lành nghề,location|other,unemployed,0,3,True,0,0,0,1,0,1.0,low,south_east,vũng tàu,2026-04-19T00:38:59.534788
worker_0025,40,male,college,divorced,salary_range|skills,14.0,Bắc Ninh,Pha chế,techGap,self-employed,12810541,4,True,0,0,1,0,0,1.5,low,north,bắc ninh,2026-04-19T00:38:59.535172
worker_0026,49,male,upper_secondary,divorced,salary_range|skills,27.0,Hải Phòng,Nông dân / Nông nghiệp,other|location,retired,8872679,3,True,0,0,0,1,0,1.0,low,north,hải phòng,2026-04-19T00:38:59.535261
worker_0027,64,other,upper_secondary,married,salary_range|skills,30.0,Bắc Ninh,Bảo vệ,,employed,8827662,3,True,0,0,0,0,0,0.0,low,north,bắc ninh,2026-04-19T00:38:59.535320
worker_0028,59,male,college,divorced,salary_range|skills,30.0,Nam Định,Kế toán / Hành chính,,employed,7757656,4,True,0,0,0,0,0,0.0,low,north,nam định,2026-04-19T00:38:59.535531
worker_0030,58,male,primary,widowed,salary_range|skills,30.0,Bắc Ninh,Nhân viên kho vận,,employed,11233748,1,True,0,0,0,0,0,0.0,low,north,bắc ninh,2026-04-19T00:38:59.535657
worker_0031,46,female,college,single,salary_range|skills,22.0,Đà Nẵng,Nông dân / Nông nghiệp,,employed,7828146,4,True,0,0,0,0,0,0.0,low,central,đà nẵng,2026-04-19T00:38:59.535706
worker_0033,65,female,primary,single,skills,30.0,Bắc Ninh,Bảo vệ,health|techGap,self-employed,6691251,1,True,1,0,1,0,0,3.5,medium,north,bắc ninh,2026-04-19T00:38:59.535861
worker_0034,40,male,primary,divorced,salary_range|skills,14.0,TP. Hồ Chí Minh,Lao động xây dựng,other,unemployed,0,1,True,0,0,0,0,0,0.0,low,south_east,hồ chí minh,2026-04-19T00:38:59.535943
worker_0036,63,other,primary,single,skills,30.0,Vĩnh Phúc,Nông dân / Nông nghiệp,location|techGap,unemployed,0,1,True,0,0,1,1,0,2.5,medium,north,vĩnh phúc,2026-04-19T00:38:59.536218
worker_0037,41,female,primary,widowed,salary_range|skills,14.0,Đà Nẵng,Công nhân sản xuất,other,employed,11198253,1,True,0,0,0,0,0,0.0,low,central,đà nẵng,2026-04-19T00:38:59.536305
worker_0038,45,male,primary,married,salary_range|skills,24.0,Vũng Tàu,Nhân viên phục vụ,health|location|family,retired,10379780,1,True,1,1,0,1,0,4.5,medium,south_east,vũng tàu,2026-04-19T00:38:59.536402
worker_0040,55,male,upper_secondary,widowed,salary_range|skills,30.0,Hải Phòng,Thợ lành nghề,techGap,unemployed,0,3,True,0,0,1,0,0,1.5,low,north,hải phòng,2026-04-19T00:38:59.536620
worker_0041,47,other,primary,single,salary_range|skills,18.0,Thanh Hóa,Pha chế,location|techGap,employed,6543797,1,True,0,0,1,1,0,2.5,medium,north,thanh hóa,2026-04-19T00:38:59.536718
worker_0042,46,male,primary,married,salary_range|skills,26.0,Vũng Tàu,Bảo vệ,health,retired,10284343,1,True,1,0,0,0,0,2.0,medium,south_east,vũng tàu,2026-04-19T00:38:59.536804
worker_0043,65,other,college,single,salary_range|skills,30.0,Thái Nguyên,Giúp việc / Dịch vụ,health|location,self-employed,6141534,4,True,1,0,0,1,0,3.0,medium,north,thái nguyên,2026-04-19T00:38:59.536917
worker_0044,37,other,primary,divorced,salary_range|skills,9.0,Thanh Hóa,Lao động xây dựng,other,unemployed,0,1,True,0,0,0,0,0,0.0,low,north,thanh hóa,2026-04-19T00:38:59.537014
worker_0046,57,other,college,widowed,salary_range|skills,30.0,Bắc Ninh,Thợ lành nghề,location|health|techGap,unemployed,0,4,True,1,0,1,1,0,4.5,medium,north,bắc ninh,2026-04-19T00:38:59.537218
worker_0047,39,female,primary,divorced,salary_range|skills,12.0,Bắc Ninh,Giúp việc / Dịch vụ,,self-employed,10908210,1,True,0,0,0,0,0,0.0,low,north,bắc ninh,2026-04-19T00:38:59.537297
worker_0048,64,other,primary,divorced,salary_range,30.0,Vũng Tàu,Lái xe,techGap,retired,8749122,1,True,0,0,1,0,0,1.5,low,south_east,vũng tàu,2026-04-19T00:38:59.537378
worker_0049,63,male,college,married,salary_range|skills,30.0,Đà Nẵng,Thợ lành nghề,,employed,7277965,4,True,0,0,0,0,0,0.0,low,central,đà nẵng,2026-04-19T00:38:59.537469
worker_0050,56,other,primary,single,salary_range|skills,26.0,Bắc Ninh,Nông dân / Nông nghiệp,health|techGap,retired,6421827,1,True,1,0,1,0,0,3.5,medium,north,bắc ninh,2026-04-19T00:38:59.537606
worker_0051,37,male,upper_secondary,married,salary_range|skills,9.0,Vũng Tàu,Nhân viên bán hàng,health|other,self-employed,14113838,3,True,1,0,0,0,0,2.0,medium,south_east,vũng tàu,2026-04-19T00:38:59.537691
worker_0052,59,male,upper_secondary,divorced,salary_range|skills,30.0,Bình Dương,Bảo vệ,,self-employed,14917156,3,True,0,0,0,0,0,0.0,low,south_east,bình dương,2026-04-19T00:38:59.537757
worker_0053,65,female,primary,divorced,skills,30.0,Hải Dương,Lái xe,techGap|health,retired,12725871,1,True,1,0,1,0,0,3.5,medium,north,hải dương,2026-04-19T00:38:59.537805
worker_0054,35,female,primary,divorced,salary_range|skills,8.0,Cần Thơ,Nhân viên kho vận,techGap,unemployed,0,1,True,0,0,1,0,0,1.5,low,mekong,cần thơ,2026-04-19T00:38:59.537852
worker_0055,37,other,college,divorced,salary_range|skills,13.0,Bắc Ninh,Bảo vệ,techGap|health|family,retired,13956556,4,True,1,1,1,0,0,5.0,high,north,bắc ninh,2026-04-19T00:38:59.537899
worker_0056,53,male,college,divorced,salary_range|skills,30.0,Bắc Ninh,Nhân viên kho vận,other,employed,12230179,4,True,0,0,0,0,0,0.0,low,north,bắc ninh,2026-04-19T00:38:59.537943
worker_0057,47,female,university,single,salary_range,26.0,Vũng Tàu,Nông dân / Nông nghiệp,family|location|techGap,retired,9435235,5,True,0,1,1,1,0,4.0,medium,south_east,vũng tàu,2026-04-19T00:38:59.537987
worker_0058,35,male,upper_secondary,married,salary_range|skills,8.0,Thái Nguyên,Nhân viên phục vụ,techGap,employed,14729103,3,True,0,0,1,0,0,1.5,low,north,thái nguyên,2026-04-19T00:38:59.538046
worker_0059,46,male,primary,married,salary_range|skills,20.0,Vinhy,Pha chế,family|techGap,unemployed,0,1,True,0,1,1,0,0,3.0,medium,north,nghệ an,2026-04-19T00:38:59.538081
worker_0060,65,other,upper_secondary,divorced,salary_range|skills,30.0,Vũng Tàu,Kế toán / Hành chính,location,employed,13100301,3,True,0,0,0,1,0,1.0,low,south_east,vũng tàu,2026-04-19T00:38:59.538126
worker_0061,51,female,upper_secondary,divorced,salary_range|skills,25.0,Bắc Ninh,Bảo vệ,techGap|location|family,unemployed,0,3,True,0,1,1,1,0,4.0,medium,north,bắc ninh,2026-04-19T00:38:59.538179
worker_0062,37,female,primary,single,salary_range|skills,16.0,Bình Dương,Thợ lành nghề,location,self-employed,12309629,1,True,0,0,0,1,0,1.0,low,south_east,bình dương,2026-04-19T00:38:59.538242
worker_0063,56,female,university,divorced,salary_range,30.0,Hải Dương,Nông dân / Nông nghiệp,,employed,9431255,5,True,0,0,0,0,0,0.0,low,north,hải dương,2026-04-19T00:38:59.538284
worker_0064,37,female,primary,divorced,salary_range|skills,13.0,Hải Dương,Công nhân sản xuất,family|other|location,employed,13444800,1,True,0,1,0,1,0,2.5,medium,north,hải dương,2026-04-19T00:38:59.538329
worker_0065,44,male,college,divorced,salary_range|skills,19.0,Vĩnh Phúc,Lao động xây dựng,health|location|family,unemployed,0,4,True,1,1,0,1,0,4.5,medium,north,vĩnh phúc,2026-04-19T00:38:59.538396
worker_0066,58,male,university,married,salary_range|skills,29.0,Vinhy,Kế toán / Hành chính,techGap|health|other,retired,12949806,5,True,1,0,1,0,0,3.5,medium,north,nghệ an,2026-04-19T00:38:59.538429
worker_0068,44,male,university,married,salary_range|skills,23.0,Nam Định,Giúp việc / Dịch vụ,location|techGap|family,retired,4211945,5,True,0,1,1,1,0,4.0,medium,north,nam định,2026-04-19T00:38:59.538547
worker_0069,41,female,upper_secondary,single,salary_range|skills,17.0,Vinhy,Bảo vệ,health|family|location,unemployed,0,3,True,1,1,0,1,0,4.5,medium,north,nghệ an,2026-04-19T00:38:59.538582
worker_0070,58,female,college,divorced,salary_range|skills,30.0,Huế,Nhân viên kho vận,other,self-employed,14098897,4,True,0,0,0,0,0,0.0,low,central,thừa thiên huế,2026-04-19T00:38:59.538615
worker_0071,57,other,upper_secondary,widowed,salary_range|skills,30.0,Vinhy,Lao động xây dựng,other|health|location,retired,4956687,3,True,1,0,0,1,0,3.0,medium,north,nghệ an,2026-04-19T00:38:59.538643
worker_0074,36,male,college,single,salary_range|skills,13.0,TP. Hồ Chí Minh,Lao động xây dựng,,unemployed,0,4,True,0,0,0,0,0,0.0,low,south_east,hồ chí minh,2026-04-19T00:38:59.538801
worker_0075,64,other,primary,married,salary_range|skills,30.0,Bắc Ninh,Nhân viên kho vận,other|health,unemployed,0,1,True,1,0,0,0,0,2.0,medium,north,bắc ninh,2026-04-19T00:38:59.538841
worker_0076,57,female,college,widowed,salary_range,29.0,Vĩnh Phúc,Nông dân / Nông nghiệp,techGap,retired,6755184,4,True,0,0,1,0,0,1.5,low,north,vĩnh phúc,2026-04-19T00:38:59.538896
worker_0077,47,male,primary,widowed,salary_range|skills,24.0,TP. Hồ Chí Minh,Kế toán / Hành chính,,self-employed,6936936,1,True,0,0,0,0,0,0.0,low,south_east,hồ chí minh,2026-04-19T00:38:59.538931
worker_0078,61,other,college,married,salary_range|skills,30.0,Hà Nội,Nhân viên phục vụ,location|health,unemployed,0,4,True,1,0,0,1,0,3.0,medium,north,hà nội,2026-04-19T00:38:59.538965
worker_0079,51,other,primary,divorced,salary_range|skills,24.0,Vinhy,Bảo vệ,techGap|location,retired,14974549,1,True,0,0,1,1,0,2.5,medium,north,nghệ an,2026-04-19T00:38:59.538993
worker_0080,50,other,college,single,salary_range|skills,21.0,Huế,Công nhân sản xuất,,unemployed,0,4,True,0,0,0,0,0,0.0,low,central,thừa thiên huế,2026-04-19T00:38:59.539013
worker_0082,49,male,college,widowed,skills,29.0,Nam Định,Lao động xây dựng,,retired,11030070,4,True,0,0,0,0,0,0.0,low,north,nam định,2026-04-19T00:38:59.539108
worker_0084,65,female,college,single,skills,30.0,Bắc Ninh,Giúp việc / Dịch vụ,,unemployed,0,4,True,0,0,0,0,0,0.0,low,north,bắc ninh,2026-04-19T00:38:59.539221
worker_0085,64,female,university,divorced,salary_range|skills,30.0,Huế,Nhân viên phục vụ,family|health,employed,6575696,5,True,1,1,0,0,0,3.5,medium,central,thừa thiên huế,2026-04-19T00:38:59.539244
worker_0086,46,other,primary,single,salary_range|skills,20.0,Vĩnh Phúc,Pha chế,family,self-employed,10012492,1,True,0,1,0,0,0,1.5,low,north,vĩnh phúc,2026-04-19T00:38:59.539299
worker_0087,65,male,university,widowed,salary_range|skills,30.0,Thanh Hóa,Nhân viên bán hàng,other|family|location,unemployed,0,5,True,0,1,0,1,0,2.5,medium,north,thanh hóa,2026-04-19T00:38:59.539340
worker_0089,38,female,upper_secondary,divorced,salary_range,8.0,Vĩnh Phúc,Công nhân sản xuất,techGap|other|family,employed,8819373,3,True,0,1,1,0,0,3.0,medium,north,vĩnh phúc,2026-04-19T00:38:59.539445
worker_0090,38,male,primary,married,salary_range|skills,17.0,Bình Dương,Công nhân sản xuất,location|family,employed,8756750,1,True,0,1,0,1,0,2.5,medium,south_east,bình dương,2026-04-19T00:38:59.539483
worker_0091,49,female,university,married,salary_range|skills,19.0,TP. Hồ Chí Minh,Giúp việc / Dịch vụ,location|health,employed,6750351,5,True,1,0,0,1,0,3.0,medium,south_east,hồ chí minh,2026-04-19T00:38:59.539523
worker_0092,58,female,primary,divorced,salary_range|skills,30.0,Vinhy,Lái xe,other|health|location,retired,14563975,1,True,1,0,0,1,0,3.0,medium,north,nghệ an,2026-04-19T00:38:59.539552
worker_0094,58,male,college,married,salary_range|skills,30.0,Đà Nẵng,Nhân viên kho vận,family|health,retired,8938050,4,True,1,1,0,0,0,3.5,medium,central,đà nẵng,2026-04-19T00:38:59.539664
worker_0095,63,other,college,single,salary_range|skills,30.0,Huế,Nhân viên phục vụ,other|health|family,self-employed,10930449,4,True,1,1,0,0,0,3.5,medium,central,thừa thiên huế,2026-04-19T00:38:59.539690
worker_0096,37,other,college,widowed,salary_range|skills,9.0,Thanh Hóa,Lái xe,,retired,12300263,4,True,0,0,0,0,0,0.0,low,north,thanh hóa,2026-04-19T00:38:59.539732
worker_0097,62,other,upper_secondary,divorced,salary_range|skills,30.0,Đà Nẵng,Công nhân sản xuất,family,unemployed,0,3,True,0,1,0,0,0,1.5,low,central,đà nẵng,2026-04-19T00:38:59.539766
worker_0098,52,female,college,widowed,salary_range|skills,30.0,Nam Định,Nhân viên phục vụ,family|techGap,retired,8641055,4,True,0,1,1,0,0,3.0,medium,north,nam định,2026-04-19T00:38:59.539808
worker_0099,35,other,university,divorced,salary_range|skills,12.0,Vinhy,Bảo vệ,health|techGap|family,unemployed,0,5,True,1,1,1,0,0,5.0,high,north,nghệ an,2026-04-19T00:38:59.539835
worker_0101,65,other,primary,divorced,salary_range|skills,30.0,Vũng Tàu,Pha chế,,employed,4185812,1,True,0,0,0,0,0,0.0,low,south_east,vũng tàu,2026-04-19T00:38:59.539920
worker_0102,39,female,university,widowed,salary_range|skills,15.0,Cần Thơ,Lái xe,health,retired,4382211,5,True,1,0,0,0,0,2.0,medium,mekong,cần thơ,2026-04-19T00:38:59.539957
worker_0103,57,male,university,single,salary_range|skills,30.0,Nha Trang,Bảo vệ,location|other|techGap,self-employed,5665056,5,True,0,0,1,1,0,2.5,medium,central,khánh hòa,2026-04-19T00:38:59.539979
worker_0104,56,other,college,divorced,salary_range|skills,30.0,Nha Trang,Pha chế,,self-employed,5655375,4,True,0,0,0,0,0,0.0,low,central,khánh hòa,2026-04-19T00:38:59.539998
worker_0105,60,female,university,married,salary_range|skills,30.0,Nam Định,Bảo vệ,location|family|techGap,retired,7952224,5,True,0,1,1,1,0,4.0,medium,north,nam định,2026-04-19T00:38:59.540038
worker_0106,52,other,primary,married,salary_range|skills,26.0,Thanh Hóa,Nhân viên bán hàng,,self-employed,6217890,1,True,0,0,0,0,0,0.0,low,north,thanh hóa,2026-04-19T00:38:59.540077
worker_0107,63,male,college,single,salary_range|skills,30.0,Vĩnh Phúc,Pha chế,health,self-employed,3217248,4,True,1,0,0,0,0,2.0,medium,north,vĩnh phúc,2026-04-19T00:38:59.540139
worker_0108,49,male,college,divorced,salary_range|skills,26.0,Hải Phòng,Lái xe,family|health|techGap,employed,13239336,4,True,1,1,1,0,0,5.0,high,north,hải phòng,2026-04-19T00:38:59.540189
worker_0109,37,male,primary,divorced,skills,14.0,Bình Dương,Nhân viên phục vụ,location|family|other,employed,6080345,1,True,0,1,0,1,0,2.5,medium,south_east,bình dương,2026-04-19T00:38:59.540225
worker_0110,37,female,upper_secondary,married,salary_range|skills,17.0,Nam Định,Kế toán / Hành chính,family|location|other,employed,11808004,3,True,0,1,0,1,0,2.5,medium,north,nam định,2026-04-19T00:38:59.540268
worker_0111,51,other,primary,single,salary_range|skills,29.0,Đà Lạt,Thợ lành nghề,location,unemployed,0,1,True,0,0,0,1,0,1.0,low,central_highlands,lâm đồng,2026-04-19T00:38:59.540288
worker_0112,46,male,college,single,salary_range|skills,26.0,Đà Lạt,Công nhân sản xuất,,unemployed,0,4,True,0,0,0,0,0,0.0,low,central_highlands,lâm đồng,2026-04-19T00:38:59.540309
worker_0113,62,female,upper_secondary,divorced,salary_range|skills,30.0,Thanh Hóa,Nhân viên kho vận,other|location|family,unemployed,0,3,True,0,1,0,1,0,2.5,medium,north,thanh hóa,2026-04-19T00:38:59.540347
worker_0114,40,other,upper_secondary,widowed,salary_range|skills,11.0,Bình Dương,Công nhân sản xuất,,retired,7078781,3,True,0,0,0,0,0,0.0,low,south_east,bình dương,2026-04-19T00:38:59.540382
worker_0115,59,male,college,single,salary_range|skills,30.0,Bình Dương,Công nhân sản xuất,,unemployed,0,4,True,0,0,0,0,0,0.0,low,south_east,bình dương,2026-04-19T00:38:59.540416
worker_0116,53,other,college,married,salary_range|skills,28.0,Hà Nội,Nhân viên phục vụ,other|techGap,self-employed,7391275,4,True,0,0,1,0,0,1.5,low,north,hà nội,2026-04-19T00:38:59.540449
worker_0117,39,male,college,married,salary_range|skills,12.0,Thái Nguyên,Nông dân / Nông nghiệp,techGap|family|location,employed,14566099,4,True,0,1,1,1,0,4.0,medium,north,thái nguyên,2026-04-19T00:38:59.540498
worker_0118,63,female,upper_secondary,divorced,salary_range|skills,30.0,Nam Định,Kế toán / Hành chính,location|health|family,retired,14600988,3,True,1,1,0,1,0,4.5,medium,north,nam định,2026-04-19T00:38:59.540540
worker_0119,51,other,upper_secondary,widowed,salary_range|skills,24.0,Thanh Hóa,Giúp việc / Dịch vụ,other,unemployed,0,3,True,0,0,0,0,0,0.0,low,north,thanh hóa,2026-04-19T00:38:59.540580
worker_0120,57,male,college,married,salary_range,29.0,Nam Định,Bảo vệ,other|family,unemployed,0,4,True,0,1,0,0,0,1.5,low,north,nam định,2026-04-19T00:38:59.540619
worker_0121,38,other,college,widowed,salary_range|skills,13.0,Đà Lạt,Lái xe,other,self-employed,3582683,4,True,0,0,0,0,0,0.0,low,central_highlands,lâm đồng,2026-04-19T00:38:59.540641
worker_0122,58,other,upper_secondary,divorced,salary_range|skills,30.0,Hải Dương,Lái xe,,employed,7812523,3,True,0,0,0,0,0,0.0,low,north,hải dương,2026-04-19T00:38:59.540679
worker_0123,54,other,college,single,salary_range|skills,30.0,Bắc Ninh,Lao động xây dựng,,retired,9334368,4,True,0,0,0,0,0,0.0,low,north,bắc ninh,2026-04-19T00:38:59.540719
worker_0124,62,male,college,married,salary_range|skills,30.0,Cần Thơ,Nhân viên kho vận,location,unemployed,0,4,True,0,0,0,1,0,1.0,low,mekong,cần thơ,2026-04-19T00:38:59.540776
worker_0125,61,other,upper_secondary,married,salary_range|skills,30.0,Vũng Tàu,Nhân viên kho vận,location,employed,14035273,3,True,0,0,0,1,0,1.0,low,south_east,vũng tàu,2026-04-19T00:38:59.540838
worker_0126,36,female,upper_secondary,divorced,salary_range|skills,13.0,TP. Hồ Chí Minh,Lao động xây dựng,location,employed,6418619,3,True,0,0,0,1,0,1.0,low,south_east,hồ chí minh,2026-04-19T00:38:59.540902
worker_0127,40,male,upper_secondary,married,salary_range|skills,14.0,Cần Thơ,Pha chế,other|techGap|family,retired,9514659,3,True,0,1,1,0,0,3.0,medium,mekong,cần thơ,2026-04-19T00:38:59.540967
worker_0128,35,male,primary,single,salary_range|skills,8.0,Hải Dương,Thợ lành nghề,techGap|other,retired,13327008,1,True,0,0,1,0,0,1.5,low,north,hải dương,2026-04-19T00:38:59.541076
worker_0129,60,other,primary,divorced,salary_range|skills,30.0,Vĩnh Phúc,Lao động xây dựng,health|family,unemployed,0,1,True,1,1,0,0,0,3.5,medium,north,vĩnh phúc,2026-04-19T00:38:59.541181
worker_0131,54,male,primary,divorced,salary_range|skills,25.0,Thanh Hóa,Thợ lành nghề,location,retired,6515108,1,True,0,0,0,1,0,1.0,low,north,thanh hóa,2026-04-19T00:38:59.541368
worker_0132,53,other,university,single,salary_range|skills,26.0,Hải Dương,Giúp việc / Dịch vụ,health|family,employed,13630348,5,True,1,1,0,0,0,3.5,medium,north,hải dương,2026-04-19T00:38:59.541438
worker_0133,53,other,university,widowed,salary_range|skills,23.0,Nam Định,Bảo vệ,family|other,unemployed,0,5,True,0,1,0,0,0,1.5,low,north,nam định,2026-04-19T00:38:59.541519
worker_0134,44,female,upper_secondary,single,salary_range|skills,17.0,TP. Hồ Chí Minh,Nhân viên bán hàng,health,self-employed,8135324,3,True,1,0,0,0,0,2.0,medium,south_east,hồ chí minh,2026-04-19T00:38:59.541581
worker_0135,35,other,upper_secondary,married,salary_range|skills,10.0,Hải Dương,Nhân viên phục vụ,family|health|location,retired,8718133,3,True,1,1,0,1,0,4.5,medium,north,hải dương,2026-04-19T00:38:59.541649
worker_0136,38,other,university,single,salary_range|skills,18.0,Huế,Giúp việc / Dịch vụ,other,retired,13116639,5,True,0,0,0,0,0,0.0,low,central,thừa thiên huế,2026-04-19T00:38:59.541685
worker_0137,46,female,primary,single,salary_range|skills,23.0,Vĩnh Phúc,Pha chế,techGap,unemployed,0,1,True,0,0,1,0,0,1.5,low,north,vĩnh phúc,2026-04-19T00:38:59.541792
worker_0140,65,female,primary,widowed,salary_range|skills,30.0,TP. Hồ Chí Minh,Lao động xây dựng,,self-employed,6835504,1,True,0,0,0,0,0,0.0,low,south_east,hồ chí minh,2026-04-19T00:38:59.542072
worker_0141,41,female,college,widowed,salary_range|skills,14.0,Vĩnh Phúc,Nông dân / Nông nghiệp,other|health,unemployed,0,4,True,1,0,0,0,0,2.0,medium,north,vĩnh phúc,2026-04-19T00:38:59.542179
worker_0142,44,male,primary,married,salary_range|skills,15.0,Vũng Tàu,Thợ lành nghề,other|techGap,employed,13580519,1,True,0,0,1,0,0,1.5,low,south_east,vũng tàu,2026-04-19T00:38:59.542251
worker_0143,48,male,primary,married,salary_range|skills,22.0,Thái Nguyên,Giúp việc / Dịch vụ,other,retired,12826109,1,True,0,0,0,0,0,0.0,low,north,thái nguyên,2026-04-19T00:38:59.542343
worker_0144,44,female,primary,divorced,salary_range|skills,19.0,Vinhy,Kế toán / Hành chính,health|family,unemployed,0,1,True,1,1,0,0,0,3.5,medium,north,nghệ an,2026-04-19T00:38:59.542397
worker_0145,65,other,university,single,skills,30.0,Nha Trang,Bảo vệ,techGap|family,unemployed,0,5,True,0,1,1,0,0,3.0,medium,central,khánh hòa,2026-04-19T00:38:59.542432
worker_0146,58,other,primary,divorced,salary_range|skills,30.0,Hải Dương,Nông dân / Nông nghiệp,health|location,unemployed,0,1,True,1,0,0,1,0,3.0,medium,north,hải dương,2026-04-19T00:38:59.542502
worker_0147,53,other,upper_secondary,widowed,salary_range,28.0,Hải Dương,Lao động xây dựng,health,retired,12636447,3,True,1,0,0,0,0,2.0,medium,north,hải dương,2026-04-19T00:38:59.542571
worker_0149,59,female,upper_secondary,married,salary_range,30.0,Vinhy,Lao động xây dựng,family,unemployed,0,3,True,0,1,0,0,0,1.5,low,north,nghệ an,2026-04-19T00:38:59.542716
worker_0150,59,male,college,single,salary_range|skills,30.0,Hà Nội,Giúp việc / Dịch vụ,other,employed,9976494,4,True,0,0,0,0,0,0.0,low,north,hà nội,2026-04-19T00:38:59.542776
worker_0151,35,other,upper_secondary,divorced,salary_range|skills,14.0,Bắc Ninh,Bảo vệ,location,retired,11174629,3,True,0,0,0,1,0,1.0,low,north,bắc ninh,2026-04-19T00:38:59.542846
worker_0152,54,female,university,single,salary_range|skills,27.0,Hải Dương,Pha chế,other|location|health,self-employed,5523942,5,True,1,0,0,1,0,3.0,medium,north,hải dương,2026-04-19T00:38:59.542930
worker_0153,51,male,upper_secondary,divorced,salary_range|skills,24.0,Huế,Nhân viên phục vụ,health|other|techGap,retired,8455650,3,True,1,0,1,0,0,3.5,medium,central,thừa thiên huế,2026-04-19T00:38:59.542973
worker_0154,59,male,primary,married,salary_range,30.0,Vinhy,Bảo vệ,,unemployed,0,1,True,0,0,0,0,0,0.0,low,north,nghệ an,2026-04-19T00:38:59.543017
worker_0155,35,male,college,divorced,salary_range|skills,8.0,Đà Lạt,Kế toán / Hành chính,family,self-employed,6869654,4,True,0,1,0,0,0,1.5,low,central_highlands,lâm đồng,2026-04-19T00:38:59.543056
