id,userId,data_source,exported_at,age,gender,province,education,marital_status,experience_years,employment_status,target_job,target_salary,target_province,preferred_job_type,skills,skills_count,barrier_health,barrier_family,barrier_techGap,barrier_location,barrier_other,total_barriers,current_step,is_completed,created_at,updated_at,training_weight,merged_at,age_group,has_barriers,experience_age_ratio,education_level,is_male,is_female,is_married,cleaned_at
mock_0060,mock_user_0060,mock_script,2026-04-10T18:52:04.900640,53,female,Đắk Lắk,primary,married,22.1,retired,Nông dân / Nông nghiệp,11047043,Bắc Ninh,temporary,kho vận|phục vụ bàn|sử dụng máy nông nghiệp,3,0,0,1,1,0,2,4,True,2026-04-10T18:52:04.900644,2026-04-10T18:52:04.900645,0.5,2026-04-10T18:52:04.953429,50-54,1,1.1631578947368422,1,0,1,1,2026-04-10T19:11:53.780708
mock_0059,mock_user_0059,mock_script,2026-04-10T18:52:04.900605,46,female,Thái Bình,high,single,13.1,employed,Thợ lành nghề,9876093,Bình Dương,part-time,chăm sóc người già|may mặc|sửa chữa,3,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.900608,2026-04-10T18:52:04.900614,0.5,2026-04-10T18:52:04.953429,45-49,0,1.0916666666666666,3,0,1,0,2026-04-10T19:11:53.780708
mock_0058,mock_user_0058,mock_script,2026-04-10T18:52:04.900582,41,female,Thanh Hóa,college,single,18.1,unemployed,Nhân viên kho vận,17036284,Thanh Hóa,part-time,may mặc,1,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.900585,2026-04-10T18:52:04.900587,0.5,2026-04-10T18:52:04.953429,35-44,1,2.585714285714286,5,0,1,0,2026-04-10T19:11:53.780708
mock_0057,mock_user_0057,mock_script,2026-04-10T18:52:04.900561,47,female,Đà Lạt,vocational,single,28.6,self-employed,Bảo vệ,16060759,Bình Dương,temporary,giao hàng,1,1,0,1,0,0,2,4,True,2026-04-10T18:52:04.900564,2026-04-10T18:52:04.900565,0.5,2026-04-10T18:52:04.953429,45-49,1,2.2,4,0,1,0,2026-04-10T19:11:53.780708
mock_0056,mock_user_0056,mock_script,2026-04-10T18:52:04.900540,36,other,Buôn Ma Thuột,university,married,3.8,unemployed,Lái xe,5716613,Nam Định,temporary,pha chế đồ uống|sơn sửa nhà,2,1,0,1,0,0,2,4,True,2026-04-10T18:52:04.900543,2026-04-10T18:52:04.900544,0.5,2026-04-10T18:52:04.953429,35-44,1,1.9,6,0,0,1,2026-04-10T19:11:53.780708
mock_0055,mock_user_0055,mock_script,2026-04-10T18:52:04.900518,61,female,Bắc Ninh,university,married,41.7,employed,Pha chế,30319118,Đà Nẵng,full-time,sử dụng máy nông nghiệp|đọc bản đồ,2,0,0,0,0,1,1,4,True,2026-04-10T18:52:04.900521,2026-04-10T18:52:04.900523,0.5,2026-04-10T18:52:04.953429,60-70,1,1.5444444444444445,6,0,1,1,2026-04-10T19:11:53.780708
mock_0054,mock_user_0054,mock_script,2026-04-10T18:52:04.900496,42,other,Nghệ An,middle,married,5.1,self-employed,Lao động xây dựng,4465130,Huế,full-time,chăm sóc người già|vận hành máy móc,2,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.900499,2026-04-10T18:52:04.900500,0.5,2026-04-10T18:52:04.953429,35-44,0,0.6375,2,0,0,1,2026-04-10T19:11:53.780708
mock_0053,mock_user_0053,mock_script,2026-04-10T18:52:04.900473,63,male,Bình Dương,university,married,34.8,unemployed,Công nhân sản xuất,27417013,Hải Dương,part-time,xây dựng|đóng gói|đọc bản đồ,3,1,0,0,0,0,1,4,True,2026-04-10T18:52:04.900476,2026-04-10T18:52:04.900478,0.5,2026-04-10T18:52:04.953429,60-70,1,1.2,6,1,0,1,2026-04-10T19:11:53.780708
mock_0075,mock_user_0075,mock_script,2026-04-10T18:52:04.901039,64,male,Huế,middle,single,43.2,unemployed,Nhân viên kho vận,25249926,Thái Nguyên,temporary,kiểm kê|lái xe|nấu ăn,3,0,0,0,1,0,1,4,True,2026-04-10T18:52:04.901043,2026-04-10T18:52:04.901044,0.5,2026-04-10T18:52:04.953429,60-70,1,1.4400000000000002,2,1,0,0,2026-04-10T19:11:53.780708
mock_0076,mock_user_0076,mock_script,2026-04-10T18:52:04.901060,60,other,Biên Hòa,high,single,28.2,employed,Nhân viên kho vận,15859804,Đà Nẵng,full-time,bán hàng nông sản,1,0,1,1,0,0,2,4,True,2026-04-10T18:52:04.901063,2026-04-10T18:52:04.901067,0.5,2026-04-10T18:52:04.953429,60-70,1,1.0846153846153843,3,0,0,0,2026-04-10T19:11:53.780708
mock_0077,mock_user_0077,mock_script,2026-04-10T18:52:04.901096,62,male,Hải Phòng,none,divorced,27.6,retired,Bảo vệ,13027417,Hải Dương,part-time,bảo dưỡng xe|trộn vữa|vệ sinh an toàn thực phẩm,3,1,0,0,0,0,1,4,True,2026-04-10T18:52:04.901102,2026-04-10T18:52:04.901104,0.5,2026-04-10T18:52:04.953429,60-70,1,0.9857142857142858,0,1,0,0,2026-04-10T19:11:53.780708
mock_0078,mock_user_0078,mock_script,2026-04-10T18:52:04.901125,64,female,Đắk Lắk,college,married,39.8,employed,Lái xe,28256735,Qui Nhơn,full-time,lái xe|may mặc,2,0,1,0,0,0,1,4,True,2026-04-10T18:52:04.901129,2026-04-10T18:52:04.901130,0.5,2026-04-10T18:52:04.953429,60-70,1,1.3266666666666669,5,0,1,1,2026-04-10T19:11:53.780708
mock_0099,mock_user_0099,mock_script,2026-04-10T18:52:04.901593,51,female,TP. Hồ Chí Minh,university,divorced,11.9,self-employed,Nhân viên kho vận,12360893,Đà Nẵng,freelance,nấu ăn|pha chế|sơn sửa nhà|điện nước,4,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.901598,2026-04-10T18:52:04.901599,0.5,2026-04-10T18:52:04.953429,50-54,1,0.7000000000000001,6,0,1,0,2026-04-10T19:11:53.780708
mock_0098,mock_user_0098,mock_script,2026-04-10T18:52:04.901570,54,female,TP. Hồ Chí Minh,primary,married,18.9,self-employed,Lao động xây dựng,9343406,Hà Nam,full-time,bartender|chăn nuôi|chế biến thực phẩm|đóng gói,4,0,0,1,1,0,2,4,True,2026-04-10T18:52:04.901573,2026-04-10T18:52:04.901574,0.5,2026-04-10T18:52:04.953429,50-54,1,0.945,1,0,1,1,2026-04-10T19:11:53.780708
mock_0097,mock_user_0097,mock_script,2026-04-10T18:52:04.901547,62,female,Thái Nguyên,college,married,25.0,employed,Nhân viên phục vụ,17683576,Buôn Ma Thuột,full-time,pha chế|vận hành máy móc,2,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.901550,2026-04-10T18:52:04.901552,0.5,2026-04-10T18:52:04.953429,60-70,0,0.8928571428571429,5,0,1,1,2026-04-10T19:11:53.780708
mock_0096,mock_user_0096,mock_script,2026-04-10T18:52:04.901526,64,female,Qui Nhơn,vocational,married,41.0,employed,Công nhân sản xuất,30484441,Đắk Lắk,full-time,điện nước,1,1,0,1,0,0,2,4,True,2026-04-10T18:52:04.901529,2026-04-10T18:52:04.901530,0.5,2026-04-10T18:52:04.953429,60-70,1,1.3666666666666667,4,0,1,1,2026-04-10T19:11:53.780708
mock_0095,mock_user_0095,mock_script,2026-04-10T18:52:04.901506,53,female,Huế,college,married,30.9,employed,Công nhân sản xuất,22881266,Nghệ An,freelance,sửa chữa,1,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.901509,2026-04-10T18:52:04.901510,0.5,2026-04-10T18:52:04.953429,50-54,0,1.6263157894736842,5,0,1,1,2026-04-10T19:11:53.780708
mock_0094,mock_user_0094,mock_script,2026-04-10T18:52:04.901486,58,female,Nam Định,high,married,18.9,retired,Giúp việc / Dịh vụ,12979177,Biên Hòa,full-time,chăn nuôi|làm việc nhóm,2,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.901489,2026-04-10T18:52:04.901490,0.5,2026-04-10T18:52:04.953429,55-59,0,0.7875,3,0,1,1,2026-04-10T19:11:53.780708
mock_0093,mock_user_0093,mock_script,2026-04-10T18:52:04.901463,43,male,Vũng Tàu,vocational,married,14.1,retired,Lao động xây dựng,11852722,Vĩnh Phúc,freelance,giao hàng,1,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.901466,2026-04-10T18:52:04.901467,0.5,2026-04-10T18:52:04.953429,35-44,0,1.5666666666666669,4,1,0,1,2026-04-10T19:11:53.780708
mock_0092,mock_user_0092,mock_script,2026-04-10T18:52:04.901436,52,other,Nam Định,primary,married,13.1,unemployed,Công nhân sản xuất,8236634,Buôn Ma Thuột,full-time,pccc,1,1,0,0,0,1,2,4,True,2026-04-10T18:52:04.901440,2026-04-10T18:52:04.901441,0.5,2026-04-10T18:52:04.953429,50-54,1,0.7277777777777777,1,0,0,1,2026-04-10T19:11:53.780708
mock_0091,mock_user_0091,mock_script,2026-04-10T18:52:04.901416,47,male,Đà Lạt,middle,divorced,20.5,employed,Thợ lành nghề,12295567,Vĩnh Phúc,full-time,kiểm kê|lắp ráp|điện nước,3,0,0,0,0,1,1,4,True,2026-04-10T18:52:04.901419,2026-04-10T18:52:04.901420,0.5,2026-04-10T18:52:04.953429,45-49,1,1.5769230769230769,2,1,0,0,2026-04-10T19:11:53.780708
mock_0090,mock_user_0090,mock_script,2026-04-10T18:52:04.901394,61,male,Quảng Nam,none,married,30.7,unemployed,Kế toán / Hành chính,13579484,Hà Nội,part-time,chế biến thực phẩm|giao hàng|giặt ủi,3,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.901397,2026-04-10T18:52:04.901399,0.5,2026-04-10T18:52:04.953429,60-70,1,1.137037037037037,0,1,0,1,2026-04-10T19:11:53.780708
mock_0089,mock_user_0089,mock_script,2026-04-10T18:52:04.901371,60,female,Đà Lạt,vocational,single,20.6,employed,Công nhân sản xuất,15514412,Hà Nam,part-time,chăm sóc khách hàng|làm việc nhóm|lắp ráp|quản lý thời gian,4,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.901375,2026-04-10T18:52:04.901376,0.5,2026-04-10T18:52:04.953429,60-70,0,0.7923076923076924,4,0,1,0,2026-04-10T19:11:53.780708
mock_0088,mock_user_0088,mock_script,2026-04-10T18:52:04.901346,38,male,Đà Lạt,vocational,divorced,1.6,employed,Bảo vệ,3850322,Bình Dương,full-time,kiểm tra chất lượng,1,0,0,0,1,0,1,4,True,2026-04-10T18:52:04.901348,2026-04-10T18:52:04.901350,0.5,2026-04-10T18:52:04.953429,35-44,1,0.4,4,1,0,0,2026-04-10T19:11:53.780708
mock_0087,mock_user_0087,mock_script,2026-04-10T18:52:04.901323,54,male,Thanh Hóa,middle,married,24.2,unemployed,Thợ lành nghề,14349919,Vĩnh Phúc,temporary,giao hàng|pccc,2,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.901327,2026-04-10T18:52:04.901328,0.5,2026-04-10T18:52:04.953429,50-54,0,1.21,2,1,0,1,2026-04-10T19:11:53.780708
mock_0086,mock_user_0086,mock_script,2026-04-10T18:52:04.901302,50,female,Nam Định,none,widowed,13.1,retired,Lái xe,7239392,Đà Nẵng,part-time,làm việc nhóm|lái xe,2,1,0,0,0,0,1,4,True,2026-04-10T18:52:04.901305,2026-04-10T18:52:04.901306,0.5,2026-04-10T18:52:04.953429,50-54,1,0.81875,0,0,1,0,2026-04-10T19:11:53.780708
mock_0085,mock_user_0085,mock_script,2026-04-10T18:52:04.901278,59,female,Hà Tĩnh,high,single,37.8,unemployed,Pha chế,24620095,Thanh Hóa,freelance,bartender|chế biến thực phẩm|thu ngân,3,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.901282,2026-04-10T18:52:04.901283,0.5,2026-04-10T18:52:04.953429,55-59,0,1.5119999999999998,3,0,1,0,2026-04-10T19:11:53.780708
mock_0084,mock_user_0084,mock_script,2026-04-10T18:52:04.901256,50,male,Hà Tĩnh,university,single,21.6,employed,Công nhân sản xuất,15166107,Bình Dương,full-time,lắp ráp|may mặc,2,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.901259,2026-04-10T18:52:04.901260,0.5,2026-04-10T18:52:04.953429,50-54,1,1.35,6,1,0,0,2026-04-10T19:11:53.780708
mock_0083,mock_user_0083,mock_script,2026-04-10T18:52:04.901235,51,male,Quảng Nam,university,married,32.0,employed,Nhân viên bán hàng,20103813,Buôn Ma Thuột,temporary,trộn vữa,1,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.901238,2026-04-10T18:52:04.901240,0.5,2026-04-10T18:52:04.953429,50-54,0,1.8823529411764703,6,1,0,1,2026-04-10T19:11:53.780708
mock_0082,mock_user_0082,mock_script,2026-04-10T18:52:04.901215,47,female,Hà Nội,middle,single,21.5,employed,Nhân viên bán hàng,13314335,Thái Nguyên,full-time,chế biến thực phẩm|giao tiếp|kế toán,3,0,0,0,0,1,1,4,True,2026-04-10T18:52:04.901218,2026-04-10T18:52:04.901220,0.5,2026-04-10T18:52:04.953429,45-49,1,1.6538461538461535,2,0,1,0,2026-04-10T19:11:53.780708
mock_0081,mock_user_0081,mock_script,2026-04-10T18:52:04.901193,58,male,Đà Lạt,university,married,32.4,employed,Nhân viên phục vụ,27389184,Bắc Ninh,freelance,lắp ráp|lắp đặt|sử dụng máy nông nghiệp|trồng trọt,4,0,0,0,0,1,1,4,True,2026-04-10T18:52:04.901197,2026-04-10T18:52:04.901198,0.5,2026-04-10T18:52:04.953429,55-59,1,1.35,6,1,0,1,2026-04-10T19:11:53.780708
mock_0080,mock_user_0080,mock_script,2026-04-10T18:52:04.901170,42,other,Nam Định,high,married,5.0,retired,Giúp việc / Dịh vụ,4496373,Nam Định,full-time,chăn nuôi|kế toán,2,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.901173,2026-04-10T18:52:04.901174,0.5,2026-04-10T18:52:04.953429,35-44,0,0.625,3,0,0,1,2026-04-10T19:11:53.780708
mock_0079,mock_user_0079,mock_script,2026-04-10T18:52:04.901147,51,female,Đà Nẵng,none,married,16.6,employed,Nhân viên kho vận,9608089,Đà Nẵng,full-time,đọc bản vẽ,1,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.901152,2026-04-10T18:52:04.901153,0.5,2026-04-10T18:52:04.953429,50-54,1,0.9764705882352942,0,0,1,1,2026-04-10T19:11:53.780708
mock_0052,mock_user_0052,mock_script,2026-04-10T18:52:04.900450,51,male,Đà Nẵng,primary,married,22.7,self-employed,Thợ lành nghề,14364692,Bình Dương,freelance,bảo dưỡng xe|trồng trọt|vận hành máy móc,3,0,1,0,0,0,1,4,True,2026-04-10T18:52:04.900453,2026-04-10T18:52:04.900454,0.5,2026-04-10T18:52:04.953429,50-54,1,1.3352941176470587,1,1,0,1,2026-04-10T19:11:53.780708
mock_0051,mock_user_0051,mock_script,2026-04-10T18:52:04.900426,40,male,Buôn Ma Thuột,primary,married,16.6,retired,Công nhân sản xuất,8057303,Vĩnh Phúc,full-time,vệ sinh an toàn thực phẩm,1,0,1,0,1,0,2,4,True,2026-04-10T18:52:04.900429,2026-04-10T18:52:04.900430,0.5,2026-04-10T18:52:04.953429,35-44,1,2.766666666666667,1,1,0,1,2026-04-10T19:11:53.780708
mock_0050,mock_user_0050,mock_script,2026-04-10T18:52:04.900404,39,male,Nghệ An,high,divorced,5.0,unemployed,Nhân viên bán hàng,5049507,TP. Hồ Chí Minh,freelance,bán hàng|nhập liệu|nấu ăn|pha chế đồ uống,4,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.900408,2026-04-10T18:52:04.900409,0.5,2026-04-10T18:52:04.953429,35-44,0,1.0,3,1,0,0,2026-04-10T19:11:53.780708
mock_0025,mock_user_0025,mock_script,2026-04-10T18:52:04.899647,62,female,Bắc Ninh,college,divorced,40.3,unemployed,Thợ lành nghề,27225175,Hải Dương,freelance,nấu ăn|quản lý thời gian,2,0,0,0,0,1,1,4,True,2026-04-10T18:52:04.899650,2026-04-10T18:52:04.899652,0.5,2026-04-10T18:52:04.953429,60-70,1,1.4392857142857145,5,0,1,0,2026-04-10T19:11:53.780708
mock_0023,mock_user_0023,mock_script,2026-04-10T18:52:04.899602,44,male,Đắk Lắk,university,widowed,18.8,employed,Kế toán / Hành chính,14474744,Hà Tĩnh,full-time,bảo vệ|làm việc nhóm|thu ngân|vận hành máy móc,4,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.899605,2026-04-10T18:52:04.899606,0.5,2026-04-10T18:52:04.953429,35-44,0,1.88,6,1,0,0,2026-04-10T19:11:53.780708
mock_0022,mock_user_0022,mock_script,2026-04-10T18:52:04.899579,41,female,TP. Hồ Chí Minh,primary,married,9.9,retired,Lao động xây dựng,7529906,TP. Hồ Chí Minh,full-time,giao tiếp|sơn sửa nhà|vận hành máy móc,3,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.899582,2026-04-10T18:52:04.899584,0.5,2026-04-10T18:52:04.953429,35-44,0,1.4142857142857144,1,0,1,1,2026-04-10T19:11:53.780708
mock_0021,mock_user_0021,mock_script,2026-04-10T18:52:04.899557,53,female,Lâm Đồng,college,married,21.0,employed,Công nhân sản xuất,17258750,Hà Nội,part-time,vệ sinh an toàn thực phẩm,1,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.899560,2026-04-10T18:52:04.899561,0.5,2026-04-10T18:52:04.953429,50-54,0,1.105263157894737,5,0,1,1,2026-04-10T19:11:53.780708
mock_0020,mock_user_0020,mock_script,2026-04-10T18:52:04.899535,53,male,Bình Dương,none,single,16.9,self-employed,Lao động xây dựng,8920241,Nam Định,full-time,kiểm tra chất lượng|pccc|sửa chữa,3,1,0,1,1,0,3,4,True,2026-04-10T18:52:04.899538,2026-04-10T18:52:04.899539,0.5,2026-04-10T18:52:04.953429,50-54,1,0.8894736842105262,0,1,0,0,2026-04-10T19:11:53.780708
mock_0019,mock_user_0019,mock_script,2026-04-10T18:52:04.899512,58,male,Vũng Tàu,university,married,37.2,retired,Kế toán / Hành chính,27634125,Lâm Đồng,temporary,chăm sóc khách hàng|xây dựng|điện nước,3,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.899515,2026-04-10T18:52:04.899516,0.5,2026-04-10T18:52:04.953429,55-59,1,1.55,6,1,0,1,2026-04-10T19:11:53.780708
mock_0018,mock_user_0018,mock_script,2026-04-10T18:52:04.899488,48,female,Đà Lạt,middle,married,16.9,unemployed,Thợ lành nghề,12267921,Đắk Lắk,freelance,bảo vệ|chăm sóc khách hàng,2,0,0,0,0,0,0,4,True,2026-04-10T18:52:04.899491,2026-04-10T18:52:04.899493,0.5,2026-04-10T18:52:04.953429,45-49,0,1.207142857142857,2,0,1,1,2026-04-10T19:11:53.780708
mock_0017,mock_user_0017,mock_script,2026-04-10T18:52:04.899461,57,female,Vinh,vocational,married,17.2,employed,Pha chế,14467772,Hà Tĩnh,part-time,giao hàng|pccc,2,1,0,0,0,1,2,4,True,2026-04-10T18:52:04.899468,2026-04-10T18:52:04.899469,0.5,2026-04-10T18:52:04.953429,55-59,1,0.7478260869565218,4,0,1,1,2026-04-10T19:11:53.780708
mock_0016,mock_user_0016,mock_script,2026-04-10T18:52:04.899438,43,male,Thái Nguyên,middle,married,10.5,unemployed,Lao động xây dựng,8628849,Biên Hòa,full-time,lái xe,1,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.899442,2026-04-10T18:52:04.899443,0.5,2026-04-10T18:52:04.953429,35-44,1,1.1666666666666667,2,1,0,1,2026-04-10T19:11:53.780708
mock_0015,mock_user_0015,mock_script,2026-04-10T18:52:04.899417,40,female,Quảng Nam,primary,married,9.6,unemployed,Lao động xây dựng,7444429,Qui Nhơn,freelance,bartender,1,0,0,0,1,0,1,4,True,2026-04-10T18:52:04.899421,2026-04-10T18:52:04.899422,0.5,2026-04-10T18:52:04.953429,35-44,1,1.6,1,0,1,1,2026-04-10T19:11:53.780708
mock_0014,mock_user_0014,mock_script,2026-04-10T18:52:04.899395,44,female,Lâm Đồng,middle,divorced,18.7,employed,Lao động xây dựng,11761896,Vũng Tàu,full-time,bán hàng|chăn nuôi|thu ngân|vận hành máy móc,4,0,0,1,0,0,1,4,True,2026-04-10T18:52:04.899398,2026-04-10T18:52:04.899400,0.5,2026-04-10T18:52:04.953429,35-44,1,1.87,2,0,1,0,2026-04-10T19:11:53.780708
